,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
0,5,14,2,10,10,25,-38.86,28.66,-0.94
1,5,14,2,10,10,30,-37.63,28.89,-0.86
2,5,14,2,10,10,35,-36.75,29.05,-0.81
3,5,14,2,10,10,40,-22.48,29.10,-0.72
4,5,14,2,10,10,45,-46.75,31.59,-0.84
5,5,14,2,15,10,25,-52.17,32.13,-1.96
6,5,14,2,15,10,30,-53.68,33.22,-2.22
7,5,14,2,15,10,35,-56.74,35.48,-2.97
8,5,14,2,15,10,40,-49.16,37.24,-14.49
9,5,14,2,15,10,45,-66.67,42.52,-3.26
10,5,14,2,20,10,25,-16.10,22.69,-1.81
11,5,14,2,20,10,30,-18.63,23.87,-1.65
12,5,14,2,20,10,35,-23.85,26.37,-1.46
13,5,14,2,20,10,40,-24.22,28.33,-0.99
14,5,14,2,20,10,45,-50.90,30.12,-23.70
15,5,14,2,25,10,25,-5.16,19.11,-0.33
16,5,14,2,25,10,30,-6.26,22.67,-0.30
17,5,14,2,25,10,35,-11.64,26.15,-0.39
18,5,14,2,25,10,40,-18.32,28.06,-0.56
19,5,14,2,25,10,45,-50.48,29.83,-56.94
20,5,14,2,10,15,25,-38.48,28.73,-0.91
21,5,14,2,10,15,30,-37.24,28.96,-0.84
22,5,14,2,10,15,35,-36.57,29.09,-0.80
23,5,14,2,10,15,40,-22.48,29.10,-0.72
24,5,14,2,10,15,45,-46.75,31.59,-0.84
25,5,14,2,15,15,25,-53.08,32.79,-2.11
26,5,14,2,15,15,30,-54.58,33.88,-2.41
27,5,14,2,15,15,35,-57.61,36.14,-3.25
28,5,14,2,15,15,40,-50.10,37.83,-22.75
29,5,14,2,15,15,45,-67.43,43.19,-3.55
30,5,14,2,20,15,25,-17.70,23.44,-1.70
31,5,14,2,20,15,30,-20.22,24.62,-1.58
32,5,14,2,20,15,35,-25.38,27.12,-1.42
33,5,14,2,20,15,40,-25.75,29.06,-0.99
34,5,14,2,20,15,45,-51.92,30.86,-62.00
35,5,14,2,25,15,25,-6.65,20.34,-0.35
36,5,14,2,25,15,30,-7.74,23.83,-0.33
37,5,14,2,25,15,35,-13.29,26.85,-0.41
38,5,14,2,25,15,40,-19.90,28.77,-0.57
39,5,14,2,25,15,45,-51.51,30.57,-125.71
40,5,14,2,10,20,25,-39.37,28.14,-0.95
41,5,14,2,10,20,30,-37.84,28.85,-0.88
42,5,14,2,10,20,35,-36.96,29.01,-0.82
43,5,14,2,10,20,40,-22.48,29.10,-0.72
44,5,14,2,10,20,45,-46.75,31.59,-0.84
45,5,14,2,15,20,25,-53.47,32.43,-2.14
46,5,14,2,15,20,30,-54.78,34.02,-2.45
47,5,14,2,15,20,35,-57.80,36.28,-3.32
48,5,14,2,15,20,40,-50.41,38.03,-27.88
49,5,14,2,15,20,45,-67.60,43.33,-3.62
50,5,14,2,20,20,25,-18.49,23.06,-1.77
51,5,14,2,20,20,30,-20.74,24.87,-1.56
52,5,14,2,20,20,35,-25.89,27.37,-1.41
53,5,14,2,20,20,40,-26.13,29.25,-0.99
54,5,14,2,20,20,45,-52.23,31.09,-116.79
55,5,14,2,25,20,25,-7.07,20.52,-0.36
56,5,14,2,25,20,30,-8.30,24.07,-0.34
57,5,14,2,25,20,35,-13.83,27.08,-0.42
58,5,14,2,25,20,40,-20.43,29.01,-0.58
59,5,14,2,25,20,45,-51.82,30.79,-65.10
60,5,14,3,10,10,25,-41.44,30.19,-0.99
61,5,14,3,10,10,30,-40.27,30.42,-0.91
62,5,14,3,10,10,35,-39.44,30.57,-0.86
63,5,14,3,10,10,40,-25.74,30.61,-0.79
64,5,14,3,10,10,45,-48.27,32.59,-0.88
65,5,14,3,15,10,25,-51.16,33.05,-1.41
66,5,14,3,15,10,30,-51.16,33.05,-1.41
67,5,14,3,15,10,35,-51.16,33.05,-1.41
68,5,14,3,15,10,40,-39.35,33.05,-1.63
69,5,14,3,15,10,45,-58.08,37.02,-1.33
70,5,14,3,20,10,25,-13.71,21.59,-2.04
71,5,14,3,20,10,30,-13.71,21.59,-2.04
72,5,14,3,20,10,35,-17.89,23.53,-1.69
73,5,14,3,20,10,40,-18.10,25.47,-0.98
74,5,14,3,20,10,45,-46.07,26.90,-7.19
75,5,14,3,25,10,25,-3.05,18.21,-0.27
76,5,14,3,25,10,30,-1.26,20.62,-0.17
77,5,14,3,25,10,35,-5.21,23.49,-0.26
78,5,14,3,25,10,40,-12.28,25.43,-0.47
