,period,return,dd,sharpe
0,7,5.05,13.45,0.20
1,8,-13.28,23.33,-1.29
2,9,-25.57,19.20,-1.14
3,10,-26.79,19.58,-0.94
4,11,-29.80,19.55,-1.11
5,12,-36.73,23.33,-1.08
6,13,-35.95,23.81,-1.09
7,14,-59.47,36.57,-1.23
8,15,-59.68,36.73,-1.23
9,16,-53.08,35.90,-1.28
10,17,-44.59,29.99,-1.38
11,18,-44.09,29.69,-1.39
12,19,-44.48,29.75,-1.38
13,20,-27.63,25.88,-1.85
14,21,-26.93,25.70,-1.90
15,22,-26.94,25.21,-1.83
16,23,-38.23,32.85,-1.63
17,24,-39.22,33.27,-1.58
18,25,-39.24,32.91,-1.53
19,26,-39.54,32.95,-1.51
20,27,-36.29,33.79,-0.96
21,28,-31.06,30.13,-0.97
