,fast_period,slow_period,sig_period,return,dd,sharpe
0,7,21,7,-39.34,24.95,-2.77
1,7,21,8,-43.38,27.52,-4.77
2,7,21,9,-44.33,28.13,-4.40
3,7,21,10,-44.33,28.13,-4.40
4,7,21,11,-30.05,16.48,-11.43
5,7,21,12,-32.83,18.17,-7.21
6,7,21,13,-30.47,16.73,-14.82
7,7,21,14,-30.04,16.48,-12.01
8,7,22,7,-41.96,26.40,-5.65
9,7,22,8,-42.80,26.94,-4.98
10,7,22,9,-42.80,26.94,-4.98
11,7,22,10,-39.87,22.61,-7.27
12,7,22,11,-30.54,16.78,-14.43
13,7,22,12,-32.83,18.17,-7.21
14,7,22,13,-30.04,16.48,-12.01
15,7,22,14,-33.93,18.85,-21.45
16,7,23,7,-40.44,25.09,-6.77
17,7,23,8,-41.46,25.74,-5.92
18,7,23,9,-39.87,22.61,-7.27
19,7,23,10,-35.16,19.62,-137.14
20,7,23,11,-32.22,17.80,-8.32
21,7,23,12,-30.47,16.73,-14.82
22,7,23,13,-30.04,16.48,-12.01
23,7,23,14,-31.92,17.62,-60.13
24,7,24,7,-39.44,24.37,-7.93
25,7,24,8,-39.87,22.61,-7.27
26,7,24,9,-39.87,22.61,-7.27
27,7,24,10,-31.50,17.36,-7.52
28,7,24,11,-32.83,18.17,-7.21
29,7,24,12,-30.04,16.48,-12.01
30,7,24,13,-33.93,18.85,-21.45
31,7,24,14,-29.42,16.42,-13.78
32,7,25,7,-39.87,22.61,-7.27
33,7,25,8,-39.87,22.61,-7.27
34,7,25,9,-39.87,22.61,-7.27
35,7,25,10,-31.74,17.50,-7.23
36,7,25,11,-32.83,18.17,-7.21
37,7,25,12,-30.04,16.48,-12.01
38,7,25,13,-29.42,16.42,-13.78
39,7,25,14,-29.42,16.42,-13.78
40,7,26,7,-39.87,22.61,-7.27
41,7,26,8,-39.87,22.61,-7.27
42,7,26,9,-35.16,19.62,-137.14
43,7,26,10,-32.35,17.88,-6.38
44,7,26,11,-30.04,16.48,-12.01
