,period,overbought,oversold,return,dd,sharpe
0,7,55,30,-48.61,39.46,-2.57
1,7,55,35,-69.79,49.34,-6.19
2,7,55,40,-54.16,44.75,-4.92
3,7,60,30,-48.61,39.46,-2.57
4,7,60,35,-69.79,49.34,-6.19
5,7,60,40,-54.16,44.75,-4.92
6,7,65,30,38.08,28.24,0.89
7,7,65,35,-19.26,28.24,-1.20
8,7,65,40,22.71,21.68,0.82
9,7,70,30,37.32,3.68,0.88
10,7,70,35,-0.94,5.90,-5.23
11,7,70,40,-0.94,5.90,-5.23
12,8,55,30,-36.49,37.12,-0.97
13,8,55,35,-36.49,37.12,-0.97
14,8,55,40,-51.03,37.13,-3.35
15,8,60,30,-25.95,37.14,-0.45
16,8,60,35,-25.95,37.14,-0.45
17,8,60,40,-43.04,37.16,-1.58
18,8,65,30,48.62,28.24,0.91
19,8,65,35,48.62,28.24,0.91
20,8,65,40,14.36,28.24,0.71
21,8,70,30,51.12,3.68,0.91
22,8,70,35,51.12,3.68,0.91
23,8,70,40,51.12,3.68,0.91
24,9,55,30,-56.28,43.34,-7.26
25,9,55,35,-57.18,43.36,-8.54
26,9,55,40,-67.01,47.04,-8.95
27,9,60,30,-22.39,37.16,-0.34
28,9,60,35,-23.99,37.18,-0.38
29,9,60,40,-41.38,37.12,-1.39
30,9,65,30,57.44,28.24,0.92
31,9,65,35,54.27,28.24,0.92
32,9,65,40,18.80,28.24,0.78
33,9,70,30,42.60,3.12,0.90
34,9,70,35,42.60,3.12,0.90
35,9,70,40,42.60,3.12,0.90
36,10,55,30,-16.04,37.14,-0.18
37,10,55,35,-31.00,37.15,-0.66
38,10,55,40,-40.03,37.21,-1.24
39,10,60,30,-11.53,37.19,-0.09
40,10,60,35,-27.24,37.16,-0.50
41,10,60,40,-36.64,37.15,-0.98
42,10,65,30,77.23,28.24,0.94
43,10,65,35,45.65,28.24,0.90
44,10,65,40,26.83,28.24,0.84
45,10,70,30,34.51,2.57,0.88
46,10,70,35,34.51,2.57,0.88
47,10,70,40,34.51,2.57,0.88
48,11,55,30,-18.37,37.17,-0.23
49,11,55,35,-32.87,37.14,-0.75
50,11,55,40,-32.87,37.14,-0.75
51,11,60,30,-9.29,37.18,-0.05
52,11,60,35,-25.43,37.14,-0.43
53,11,60,40,-25.43,37.14,-0.43
54,11,65,30,28.60,2.15,0.85
55,11,65,35,28.60,2.15,0.85
56,11,65,40,28.60,2.15,0.85
57,11,70,30,49.42,2.15,0.91
58,11,70,35,49.42,2.15,0.91
59,11,70,40,49.42,2.15,0.91
60,12,55,30,-29.42,37.15,-0.58
61,12,55,35,-30.30,37.12,-0.63
62,12,55,40,-31.71,37.13,-0.69
63,12,60,30,-29.42,37.15,-0.58
64,12,60,35,-26.65,37.16,-0.48
65,12,60,40,-28.17,37.18,-0.53
66,12,65,30,0.00,0.00,
67,12,65,35,23.97,1.82,0.83
68,12,65,40,23.97,1.82,0.83
69,12,70,30,0.00,0.00,
70,12,70,35,41.18,1.82,0.89
71,12,70,40,41.18,1.82,0.89
72,13,55,30,-28.42,37.13,-0.55
73,13,55,35,-31.95,37.17,-0.70
74,13,55,40,-33.24,37.16,-0.77
75,13,60,30,-11.71,28.24,-0.09
76,13,60,35,-12.21,28.24,-0.10
77,13,60,40,-13.78,28.24,-0.13
78,13,65,30,0.00,0.00,
79,13,65,35,34.82,1.56,0.88
80,13,65,40,34.82,1.56,0.88
81,13,70,30,0.00,0.00,
82,13,70,35,34.82,1.56,0.88
83,13,70,40,34.82,1.56,0.88
84,14,55,30,-28.42,37.13,-0.55
85,14,55,35,-20.15,37.13,-0.28
86,14,55,40,-34.51,37.19,-0.84
87,14,60,30,-11.71,28.24,-0.09
88,14,60,35,2.36,28.24,0.11
89,14,60,40,-15.83,28.24,-0.18
90,14,65,30,0.00,0.00,
91,14,65,35,29.90,1.35,0.86
92,14,65,40,29.90,1.35,0.86
93,14,70,30,0.00,0.00,
94,14,70,35,29.90,1.35,0.86
95,14,70,40,29.90,1.35,0.86
96,15,55,30,-27.82,36.53,-0.52
97,15,55,35,-20.72,36.51,-0.29
98,15,55,40,-34.88,36.54,-0.86
99,15,60,30,-11.71,28.24,-0.09
100,15,60,35,0.29,28.24,0.08
101,15,60,40,-17.56,28.24,-0.21
102,15,65,30,0.00,0.00,
103,15,65,35,26.03,1.19,0.84
104,15,65,40,26.03,1.19,0.84
105,15,70,30,0.00,0.00,
106,15,70,35,26.26,1.19,0.84
107,15,70,40,26.26,1.19,0.84
108,16,55,30,-24.03,32.64,-0.39
109,16,55,35,-15.02,32.66,-0.16
110,16,55,40,-28.86,32.65,-0.56
111,16,60,30,-11.71,28.24,-0.09
112,16,60,35,-1.25,28.24,0.06
113,16,60,40,-17.27,28.24,-0.21
114,16,65,30,0.00,0.00,
115,16,65,35,22.53,1.03,0.81
116,16,65,40,22.53,1.03,0.81
117,16,70,30,0.00,0.00,
118,16,70,35,32.22,6.17,2.00
119,16,70,40,32.22,6.17,2.00
120,17,55,30,-19.99,29.35,-0.27
121,17,55,35,-19.99,29.35,-0.27
122,17,55,40,-25.99,29.36,-0.45
123,17,60,30,-10.75,27.55,-0.08
124,17,60,35,-10.75,27.55,-0.08
125,17,60,40,-11.37,27.55,-0.09
126,17,65,30,0.00,0.00,
127,17,65,35,0.00,0.00,
128,17,65,40,20.02,0.92,0.79
129,17,70,30,0.00,0.00,
130,17,70,35,0.00,0.00,
131,17,70,40,28.57,5.57,1.99
132,18,55,30,-15.31,26.59,-0.16
133,18,55,35,-15.31,26.59,-0.16
134,18,55,40,-21.89,26.67,-0.32
135,18,60,30,79.14,21.67,0.94
136,18,60,35,79.14,21.67,0.94
137,18,60,40,77.51,21.67,0.94
138,18,65,30,0.00,0.00,
139,18,65,35,0.00,0.00,
140,18,65,40,19.71,0.91,0.79
141,18,70,30,0.00,0.00,
142,18,70,35,0.00,0.00,
143,18,70,40,28.12,5.50,1.98
144,19,55,30,-11.57,25.07,-0.09
145,19,55,35,-11.57,25.07,-0.09
146,19,55,40,-18.16,25.07,-0.23
147,19,60,30,79.14,21.67,0.94
148,19,60,35,79.14,21.67,0.94
149,19,60,40,77.51,21.67,0.94
150,19,65,30,0.00,0.00,
151,19,65,35,0.00,0.00,
152,19,65,40,19.88,0.91,0.79
153,19,70,30,0.00,0.00,
154,19,70,35,0.00,0.00,
155,19,70,40,28.12,5.50,1.98
156,20,55,30,-9.59,24.47,-0.06
157,20,55,35,-9.59,24.47,-0.06
158,20,55,40,-0.23,24.41,0.08
159,20,60,30,79.14,21.67,0.94
160,20,60,35,79.14,21.67,0.94
161,20,60,40,112.07,21.67,0.96
162,20,65,30,0.00,0.00,
163,20,65,35,0.00,0.00,
164,20,65,40,19.88,0.91,0.79
165,20,70,30,0.00,0.00,
166,20,70,35,0.00,0.00,
167,20,70,40,28.12,5.50,1.98
168,21,55,30,-8.14,24.47,-0.03
169,21,55,35,-8.14,24.47,-0.03
170,21,55,40,1.45,24.40,0.10
171,21,60,30,79.14,21.67,0.94
172,21,60,35,79.14,21.67,0.94
173,21,60,40,112.07,21.67,0.96
174,21,65,30,0.00,0.00,
175,21,65,35,0.00,0.00,
176,21,65,40,28.04,5.50,0.85
177,21,70,30,0.00,0.00,
178,21,70,35,0.00,0.00,
179,21,70,40,28.12,5.50,1.98
180,22,55,30,-6.97,24.42,-0.01
181,22,55,35,-6.97,24.42,-0.01
182,22,55,40,2.57,24.43,0.11
183,22,60,30,79.14,21.67,0.94
184,22,60,35,79.14,21.67,0.94
185,22,60,40,112.07,21.67,0.96
186,22,65,30,0.00,0.00,
187,22,65,35,0.00,0.00,
188,22,65,40,28.12,5.50,1.98
189,22,70,30,0.00,0.00,
190,22,70,35,0.00,0.00,
191,22,70,40,28.12,5.50,1.98
192,23,55,30,-1.04,24.42,0.07
193,23,55,35,-1.04,24.42,0.07
194,23,55,40,9.04,24.47,0.18
195,23,60,30,0.00,0.00,
196,23,60,35,0.00,0.00,
197,23,60,40,19.71,0.91,0.79
198,23,65,30,0.00,0.00,
199,23,65,35,0.00,0.00,
200,23,65,40,28.12,5.50,1.98
201,23,70,30,0.00,0.00,
202,23,70,35,0.00,0.00,
203,23,70,40,28.12,5.50,1.98
204,24,55,30,0.16,24.45,0.08
205,24,55,35,0.16,24.45,0.08
206,24,55,40,10.46,24.42,0.19
207,24,60,30,0.00,0.00,
208,24,60,35,0.00,0.00,
209,24,60,40,19.71,0.91,0.79
210,24,65,30,0.00,0.00,
211,24,65,35,0.00,0.00,
212,24,65,40,28.12,5.50,1.98
213,24,70,30,0.00,0.00,
214,24,70,35,0.00,0.00,
215,24,70,40,28.12,5.50,1.98
216,25,55,30,1.16,24.42,0.09
217,25,55,35,1.16,24.42,0.09
218,25,55,40,-0.13,24.40,0.08
219,25,60,30,0.00,0.00,
220,25,60,35,0.00,0.00,
221,25,60,40,0.00,0.00,
222,25,65,30,0.00,0.00,
223,25,65,35,0.00,0.00,
224,25,65,40,0.00,0.00,
225,25,70,30,0.00,0.00,
226,25,70,35,0.00,0.00,
227,25,70,40,0.00,0.00,
228,26,55,30,2.06,24.41,0.10
229,26,55,35,2.06,24.41,0.10
230,26,55,40,2.06,24.41,0.10
231,26,60,30,0.00,0.00,
232,26,60,35,0.00,0.00,
233,26,60,40,0.00,0.00,
234,26,65,30,0.00,0.00,
235,26,65,35,0.00,0.00,
236,26,65,40,0.00,0.00,
237,26,70,30,0.00,0.00,
238,26,70,35,0.00,0.00,
239,26,70,40,0.00,0.00,
240,27,55,30,2.87,24.41,0.11
241,27,55,35,2.87,24.41,0.11
242,27,55,40,2.87,24.41,0.11
243,27,60,30,0.00,0.00,
244,27,60,35,0.00,0.00,
245,27,60,40,0.00,0.00,
246,27,65,30,0.00,0.00,
247,27,65,35,0.00,0.00,
248,27,65,40,0.00,0.00,
249,27,70,30,0.00,0.00,
250,27,70,35,0.00,0.00,
251,27,70,40,0.00,0.00,
252,28,55,30,3.30,24.44,0.12
253,28,55,35,3.30,24.44,0.12
254,28,55,40,3.30,24.44,0.12
255,28,60,30,0.00,0.00,
256,28,60,35,0.00,0.00,
257,28,60,40,0.00,0.00,
258,28,65,30,0.00,0.00,
259,28,65,35,0.00,0.00,
260,28,65,40,0.00,0.00,
261,28,70,30,0.00,0.00,
262,28,70,35,0.00,0.00,
263,28,70,40,0.00,0.00,
