,pfast,pmid,pslow,return,dd,sharpe
0,3,10,21,-34.30,28.81,-1.08
1,3,10,22,-30.65,31.17,-0.62
2,3,10,23,-26.94,29.52,-0.55
3,3,10,24,-26.65,29.18,-0.55
4,3,10,25,-31.67,31.34,-0.66
5,3,10,26,-34.86,33.14,-0.71
6,3,10,27,-37.99,35.41,-0.73
7,3,10,28,-39.25,36.34,-0.74
8,3,10,29,-1.68,19.42,-0.06
9,3,10,30,-21.04,28.37,-0.30
10,3,10,31,-20.46,28.62,-0.29
11,3,10,32,-18.65,28.29,-0.26
12,3,10,33,-17.70,28.26,-0.23
13,3,10,34,-25.08,24.64,-0.64
14,3,10,35,-27.06,25.79,-0.66
15,3,10,36,-27.43,26.08,-0.66
16,3,10,37,-26.93,25.67,-0.66
17,3,10,38,-26.80,25.59,-0.66
18,3,10,39,-26.83,25.79,-0.66
19,3,10,40,-19.61,28.97,-0.26
20,3,11,21,-38.80,32.48,-0.98
21,3,11,22,-36.76,31.17,-0.96
22,3,11,23,-26.94,29.52,-0.55
23,3,11,24,-26.65,29.18,-0.55
24,3,11,25,-31.67,31.34,-0.66
25,3,11,26,-34.86,33.14,-0.71
26,3,11,27,-37.99,35.41,-0.73
27,3,11,28,-39.25,36.34,-0.74
28,3,11,29,-22.75,28.65,-0.34
29,3,11,30,-21.04,28.37,-0.30
30,3,11,31,-20.46,28.62,-0.29
31,3,11,32,-21.82,29.73,-0.29
32,3,11,33,-19.72,29.09,-0.25
33,3,11,34,-26.27,25.36,-0.64
34,3,11,35,-27.06,25.79,-0.66
35,3,11,36,-27.43,26.08,-0.66
36,3,11,37,-26.93,25.67,-0.66
37,3,11,38,-26.80,25.59,-0.66
38,3,11,39,-26.83,25.79,-0.66
39,3,11,40,-19.61,28.97,-0.26
40,3,12,21,-38.80,32.48,-0.98
41,3,12,22,-45.24,36.41,-0.97
42,3,12,23,-37.14,35.25,-0.62
43,3,12,24,-35.25,33.75,-0.62
44,3,12,25,-36.56,33.58,-0.69
45,3,12,26,-40.35,35.75,-0.74
46,3,12,27,-42.66,37.40,-0.75
47,3,12,28,-45.62,39.66,-0.77
48,3,12,29,-22.75,28.65,-0.34
49,3,12,30,-21.04,28.37,-0.30
50,3,12,31,-23.23,29.86,-0.31
51,3,12,32,-21.82,29.73,-0.29
52,3,12,33,-19.72,29.09,-0.25
53,3,12,34,-26.27,25.36,-0.64
54,3,12,35,-27.06,25.79,-0.66
55,3,12,36,-27.43,26.08,-0.66
56,3,12,37,-22.80,23.72,-0.61
57,3,12,38,-22.61,23.60,-0.61
58,3,12,39,-22.96,24.00,-0.62
59,3,12,40,-15.48,27.06,-0.22
60,3,13,21,-43.52,38.06,-0.76
61,3,13,22,-39.89,36.41,-0.68
62,3,13,23,-37.14,35.25,-0.62
63,3,13,24,-35.25,33.75,-0.62
64,3,13,25,-36.56,33.58,-0.69
65,3,13,26,-40.35,35.75,-0.74
66,3,13,27,-42.66,37.40,-0.75
67,3,13,28,-45.62,39.66,-0.77
68,3,13,29,-22.75,28.65,-0.34
69,3,13,30,-23.06,29.33,-0.32
70,3,13,31,-23.23,29.86,-0.31
71,3,13,32,-21.82,29.73,-0.29
72,3,13,33,-19.72,29.09,-0.25
73,3,13,34,-22.22,23.35,-0.61
74,3,13,35,-22.36,23.48,-0.61
75,3,13,36,-22.78,23.80,-0.61
76,3,13,37,-22.80,23.72,-0.61
77,3,13,38,-22.61,23.60,-0.61
78,3,13,39,-6.13,14.86,-0.36
79,3,13,40,2.72,19.59,0.04
80,3,14,21,-47.64,38.06,-0.99
81,3,14,22,-45.24,36.41,-0.97
82,3,14,23,-37.14,35.25,-0.62
83,3,14,24,-50.04,39.89,-0.71
84,3,14,25,-48.57,38.03,-0.75
85,3,14,26,-48.86,37.84,-0.78
86,3,14,27,-52.78,40.63,-0.79
87,3,14,28,-45.62,39.66,-0.77
88,3,14,29,-23.88,29.14,-0.35
89,3,14,30,-23.06,29.33,-0.32
90,3,14,31,-23.23,29.86,-0.31
91,3,14,32,-17.94,28.04,-0.25
92,3,14,33,-16.28,27.64,-0.22
93,3,14,34,-22.22,23.35,-0.61
94,3,14,35,-22.36,23.48,-0.61
95,3,14,36,-5.77,14.52,-0.36
96,3,14,37,-5.56,14.33,-0.35
97,3,14,38,-5.63,14.39,-0.35
98,3,14,39,-6.13,14.86,-0.36
99,3,14,40,2.72,19.59,0.04
100,3,15,21,-38.80,32.48,-0.98
101,3,15,22,-45.24,36.41,-0.97
102,3,15,23,-37.14,35.25,-0.62
103,3,15,24,-50.04,39.89,-0.71
104,3,15,25,-48.57,38.03,-0.75
105,3,15,26,-48.86,37.84,-0.78
106,3,15,27,-52.78,40.63,-0.79
107,3,15,28,-45.62,39.66,-0.77
108,3,15,29,-23.88,29.14,-0.35
109,3,15,30,-17.88,26.94,-0.26
110,3,15,31,-18.78,27.85,-0.27
111,3,15,32,-17.94,28.04,-0.25
112,3,15,33,2.75,19.74,0.04
113,3,15,34,-5.72,14.48,-0.35
114,3,15,35,-5.64,14.41,-0.35
115,3,15,36,-5.77,14.52,-0.36
116,3,15,37,-37.76,36.35,-1.31
117,3,15,38,-37.87,36.47,-1.31
118,3,15,39,-37.89,36.47,-1.30
119,3,15,40,-38.03,32.94,-0.73
120,3,16,21,-34.46,32.67,-1.45
121,3,16,22,-23.31,31.26,-0.66
122,3,16,23,-21.00,30.26,-0.59
123,3,16,24,-34.13,34.62,-0.67
124,3,16,25,-32.06,33.03,-0.66
125,3,16,26,-21.88,30.69,-0.61
126,3,16,27,-24.43,32.11,-0.68
127,3,16,28,-26.79,34.04,-0.71
128,3,16,29,-20.14,24.53,-0.66
129,3,16,30,-19.94,24.33,-0.65
130,3,16,31,-20.70,25.23,-0.65
131,3,16,32,-5.07,16.27,-0.38
132,3,16,33,-4.68,16.05,-0.37
133,3,16,34,-4.48,15.41,-0.38
134,3,16,35,-35.07,26.76,-3.46
135,3,16,36,-46.26,40.69,-1.03
136,3,16,37,-45.36,39.90,-1.02
