,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
0,15,3,5,14,-3.61,12.87,-0.22
1,15,3,5,21,26.98,6.03,7.74
2,15,3,5,28,9.79,12.66,0.34
3,15,3,5,35,-5.89,19.16,-0.27
4,15,3,6,14,3.86,5.14,-0.04
5,15,3,6,21,25.14,8.49,3.38
6,15,3,6,28,13.23,11.09,0.57
7,15,3,6,35,-11.89,17.72,-0.38
8,15,3,7,14,5.36,8.84,0.09
9,15,3,7,21,36.85,5.33,7.12
10,15,3,7,28,18.42,10.74,1.19
11,15,3,7,35,14.41,10.74,0.75
12,15,3,8,14,-22.59,13.79,-8.83
13,15,3,8,21,-2.79,9.12,-0.33
14,15,3,8,28,-17.13,16.14,-8.15
15,15,3,8,35,-7.65,11.44,-1.51
16,15,3,9,14,-14.64,14.14,-3.34
17,15,3,9,21,-2.79,9.12,-0.33
18,15,3,9,28,-17.13,16.14,-8.15
19,15,3,9,35,-7.65,11.44,-1.51
20,15,3,10,14,-14.64,14.14,-3.34
21,15,3,10,21,-2.79,9.12,-0.33
22,15,3,10,28,-15.26,15.19,-4.32
23,15,3,10,35,-5.68,10.49,-1.69
24,15,4,5,14,-0.44,11.44,-0.13
25,15,4,5,21,36.06,5.21,5.68
26,15,4,5,28,16.46,11.63,1.01
27,15,4,5,35,16.46,11.63,1.01
28,15,4,6,14,11.10,5.06,0.44
29,15,4,6,21,36.85,5.33,7.12
30,15,4,6,28,18.42,10.74,1.19
31,15,4,6,35,14.41,10.74,0.75
32,15,4,7,14,9.39,7.88,0.31
33,15,4,7,21,13.25,7.88,0.57
34,15,4,7,28,5.31,15.64,0.08
35,15,4,7,35,1.65,15.64,-0.06
36,15,4,8,14,-22.59,13.79,-8.83
37,15,4,8,21,-2.79,9.12,-0.33
38,15,4,8,28,-17.13,16.14,-8.15
39,15,4,8,35,-7.65,11.44,-1.51
40,15,4,9,14,-14.64,14.14,-3.34
41,15,4,9,21,-2.79,9.12,-0.33
42,15,4,9,28,-15.26,15.19,-4.32
43,15,4,9,35,-5.68,10.49,-1.69
44,15,4,10,14,-14.64,14.14,-3.34
45,15,4,10,21,-2.79,9.12,-0.33
46,15,4,10,28,-2.50,8.98,-0.32
47,15,4,10,35,-3.77,9.58,-2.04
48,15,5,5,14,-0.44,11.44,-0.13
49,15,5,5,21,32.47,5.62,12.25
50,15,5,5,28,14.51,12.31,0.76
51,15,5,5,35,14.51,12.31,0.76
52,15,5,6,14,26.52,5.14,7.53
53,15,5,6,21,31.23,5.37,32.66
54,15,5,6,28,13.23,11.09,0.57
55,15,5,6,35,9.37,11.09,0.31
56,15,5,7,14,9.39,7.88,0.31
57,15,5,7,21,36.85,5.33,7.12
58,15,5,7,28,19.01,10.49,1.30
59,15,5,7,35,14.99,10.49,0.83
60,15,5,8,14,-17.40,12.91,-8.72
61,15,5,8,21,-2.79,9.12,-0.33
62,15,5,8,28,-15.26,15.19,-4.32
63,15,5,8,35,-5.68,10.49,-1.69
64,15,5,9,14,-14.64,14.14,-3.34
65,15,5,9,21,-2.79,9.12,-0.33
66,15,5,9,28,-2.50,8.98,-0.32
67,15,5,9,35,-3.77,9.58,-2.04
68,15,5,10,14,-14.64,14.14,-3.34
69,15,5,10,21,-2.79,9.12,-0.33
70,15,5,10,28,-15.26,15.19,-4.32
71,15,5,10,35,-5.68,10.49,-1.69
72,15,6,5,14,-0.44,11.44,-0.13
73,15,6,5,21,26.98,6.03,7.74
74,15,6,5,28,9.79,12.66,0.34
75,15,6,5,35,9.79,12.66,0.34
76,15,6,6,14,26.52,5.14,7.53
77,15,6,6,21,31.23,5.37,32.66
78,15,6,6,28,11.68,11.79,0.44
79,15,6,6,35,7.84,11.79,0.22
80,15,6,7,14,-14.68,18.56,-0.43
81,15,6,7,21,6.64,15.28,0.14
82,15,6,7,28,6.64,15.28,0.14
83,15,6,7,35,2.96,15.28,-0.02
84,15,6,8,14,-17.40,12.91,-8.72
85,15,6,8,21,-2.79,9.12,-0.33
86,15,6,8,28,-2.50,8.98,-0.32
87,15,6,8,35,-3.77,9.58,-2.04
88,15,6,9,14,-19.65,12.76,-184.41
89,15,6,9,21,-2.79,9.12,-0.33
90,15,6,9,28,-2.50,8.98,-0.32
91,15,6,9,35,-3.77,9.58,-2.04
92,15,6,10,14,-14.64,14.14,-3.34
93,15,6,10,21,-2.79,9.12,-0.33
94,15,6,10,28,-2.50,8.98,-0.32
95,15,6,10,35,-3.77,9.58,-2.04
96,15,7,5,14,-0.44,11.44,-0.13
97,15,7,5,21,26.98,6.03,7.74
98,15,7,5,28,10.35,12.41,0.38
99,15,7,5,35,10.35,12.41,0.38
100,15,7,6,14,-1.35,15.63,-0.16
101,15,7,6,21,2.22,15.63,-0.04
102,15,7,6,28,2.22,15.63,-0.04
103,15,7,6,35,-1.35,15.63,-0.16
104,15,7,7,14,-11.86,17.23,-0.39
105,15,7,7,21,10.07,13.91,0.33
106,15,7,7,28,10.07,13.91,0.33
107,15,7,7,35,6.29,13.91,0.13
108,15,7,8,14,-17.40,12.91,-8.72
109,15,7,8,21,-2.79,9.12,-0.33
110,15,7,8,28,-15.26,15.19,-4.32
111,15,7,8,35,-5.68,10.49,-1.69
112,15,7,9,14,-19.65,12.76,-184.41
113,15,7,9,21,-2.79,9.12,-0.33
114,15,7,9,28,-2.50,8.98,-0.32
115,15,7,9,35,-3.77,9.58,-2.04
116,15,7,10,14,-16.30,13.56,-5.18
117,15,7,10,21,-2.79,9.12,-0.33
118,15,7,10,28,-2.50,8.98,-0.32
119,15,7,10,35,-3.77,9.58,-2.04
120,15,8,5,14,-0.44,11.44,-0.13
121,15,8,5,21,26.98,6.03,7.74
