,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
0,5,14,2,10,10,25,-9.28,5.48,-2.06
1,5,14,2,10,10,30,-6.69,4.15,-2.79
2,5,14,2,10,10,35,-6.69,4.15,-2.79
3,5,14,2,10,10,40,-9.86,5.02,-1.96
4,5,14,2,10,10,45,-5.95,4.15,-3.21
5,5,14,2,15,10,25,-9.70,5.45,-1.98
6,5,14,2,15,10,30,-7.11,4.12,-2.61
7,5,14,2,15,10,35,-7.11,4.12,-2.61
8,5,14,2,15,10,40,-10.44,5.32,-1.89
9,5,14,2,15,10,45,-7.11,4.12,-2.61
10,5,14,2,20,10,25,-9.82,5.15,-1.58
11,5,14,2,20,10,30,-7.30,3.84,-1.82
12,5,14,2,20,10,35,-7.30,3.84,-1.82
13,5,14,2,20,10,40,-13.44,7.04,-1.40
14,5,14,2,20,10,45,-7.30,3.84,-1.82
15,5,14,2,25,10,25,-7.37,3.74,-4.51
16,5,14,2,25,10,30,-7.94,4.04,-3.76
17,5,14,2,25,10,35,-7.94,4.04,-3.76
18,5,14,2,25,10,40,-14.12,7.27,-1.92
19,5,14,2,25,10,45,-7.94,4.04,-3.76
20,5,14,2,10,15,25,-9.28,5.48,-2.06
21,5,14,2,10,15,30,-6.69,4.15,-2.79
22,5,14,2,10,15,35,-6.69,4.15,-2.79
23,5,14,2,10,15,40,-10.01,5.10,-1.95
24,5,14,2,10,15,45,-6.06,4.10,-3.13
25,5,14,2,15,15,25,-9.70,5.45,-1.98
26,5,14,2,15,15,30,-7.11,4.12,-2.61
27,5,14,2,15,15,35,-7.11,4.12,-2.61
28,5,14,2,15,15,40,-10.60,5.41,-1.88
29,5,14,2,15,15,45,-7.23,4.09,-2.56
30,5,14,2,20,15,25,-9.82,5.15,-1.58
31,5,14,2,20,15,30,-7.30,3.84,-1.82
32,5,14,2,20,15,35,-7.30,3.84,-1.82
33,5,14,2,20,15,40,-13.34,7.04,-1.35
34,5,14,2,20,15,45,-7.47,3.92,-1.83
35,5,14,2,25,15,25,-7.37,3.74,-4.51
36,5,14,2,25,15,30,-7.94,4.04,-3.76
