,fast_period,slow_period,sig_period,return,dd,sharpe
0,7,21,7,120.43,8.94,0.91
1,7,21,8,120.43,8.94,0.91
2,7,21,9,155.36,8.94,1.21
3,7,21,10,82.02,10.06,1.41
4,7,21,11,74.49,10.06,1.49
5,7,21,12,74.49,10.06,1.49
6,7,21,13,-16.96,21.03,-0.52
7,7,21,14,-16.96,21.03,-0.52
8,7,22,7,120.43,8.94,0.91
9,7,22,8,146.47,8.94,1.17
10,7,22,9,154.58,8.94,1.20
11,7,22,10,74.49,10.06,1.49
12,7,22,11,74.49,10.06,1.49
13,7,22,12,-16.96,21.03,-0.52
14,7,22,13,-16.96,21.03,-0.52
15,7,22,14,-16.96,21.03,-0.52
16,7,23,7,120.43,8.94,0.91
17,7,23,8,154.26,8.94,1.20
18,7,23,9,80.10,10.06,1.44
19,7,23,10,74.49,10.06,1.49
20,7,23,11,-16.96,21.03,-0.52
21,7,23,12,-16.96,21.03,-0.52
22,7,23,13,-16.96,21.03,-0.52
23,7,23,14,-17.43,21.03,-0.51
24,7,24,7,150.96,8.94,1.17
25,7,24,8,154.26,8.94,1.20
26,7,24,9,80.10,10.06,1.44
27,7,24,10,-16.96,21.03,-0.52
28,7,24,11,-16.96,21.03,-0.52
29,7,24,12,-16.96,21.03,-0.52
30,7,24,13,-17.43,21.03,-0.51
31,7,24,14,-19.19,20.42,-0.53
32,7,25,7,150.96,8.94,1.17
33,7,25,8,151.89,8.94,1.21
34,7,25,9,-16.96,21.03,-0.52
35,7,25,10,-16.96,21.03,-0.52
36,7,25,11,-16.96,21.03,-0.52
37,7,25,12,-16.96,21.03,-0.52
38,7,25,13,-17.43,21.03,-0.51
39,7,25,14,-19.19,20.42,-0.53
40,7,26,7,147.94,8.94,1.17
41,7,26,8,33.51,3.35,3.62
42,7,26,9,-16.96,21.03,-0.52
43,7,26,10,-16.96,21.03,-0.52
44,7,26,11,-16.96,21.03,-0.52
45,7,26,12,-17.43,21.03,-0.51
46,7,26,13,-19.19,20.42,-0.53
47,7,26,14,-19.19,20.42,-0.53
48,7,27,7,31.42,3.35,2.75
49,7,27,8,33.51,3.35,3.62
50,7,27,9,-16.96,21.03,-0.52
51,7,27,10,-16.96,21.03,-0.52
52,7,27,11,-16.96,21.03,-0.52
53,7,27,12,-19.19,20.42,-0.53
54,7,27,13,-19.19,20.42,-0.53
55,7,27,14,-19.19,20.42,-0.53
56,7,28,7,31.42,3.35,2.75
57,7,28,8,33.51,3.35,3.62
58,7,28,9,-16.96,21.03,-0.52
59,7,28,10,-16.96,21.03,-0.52
60,7,28,11,-19.19,20.42,-0.53
61,7,28,12,-19.19,20.42,-0.53
62,7,28,13,-19.19,20.42,-0.53
63,7,28,14,-20.75,20.42,-0.56
64,7,29,7,33.19,3.35,3.46
65,7,29,8,29.37,3.36,6.00
66,7,29,9,-16.96,21.03,-0.52
67,7,29,10,-16.96,21.03,-0.52
68,7,29,11,-19.19,20.42,-0.53
69,7,29,12,-19.19,20.42,-0.53
