,period,overbought,oversold,return,dd,sharpe
0,7,55,30,-13.37,42.67,-1.03
1,7,55,35,-18.21,42.67,-2.23
2,7,55,40,-23.30,42.67,-19.20
3,7,60,30,17.82,45.84,0.50
4,7,60,35,11.25,45.84,0.37
5,7,60,40,-20.20,47.35,-13.05
6,7,65,30,29.05,45.84,1.26
7,7,65,35,22.83,45.84,1.74
8,7,65,40,-20.20,47.35,-13.05
9,7,70,30,42.95,45.84,4.56
10,7,70,35,36.06,45.84,31.24
11,7,70,40,-11.61,45.80,-1.33
12,8,55,30,-6.07,42.67,-1.31
13,8,55,35,-7.76,42.67,-59.95
14,8,55,40,-13.36,42.67,-1.67
15,8,60,30,10.60,45.84,0.24
16,8,60,35,14.17,45.84,0.53
17,8,60,40,11.58,45.80,3.26
18,8,65,30,10.60,45.84,0.24
19,8,65,35,14.17,45.84,0.53
20,8,65,40,11.58,45.80,3.26
21,8,70,30,22.51,45.84,0.81
22,8,70,35,26.47,45.84,2.50
23,8,70,40,23.60,45.80,2.09
24,9,55,30,13.35,45.84,0.30
25,9,55,35,12.73,45.84,0.31
26,9,55,40,2.05,45.80,-0.10
27,9,60,30,13.35,45.84,0.30
28,9,60,35,16.55,45.84,0.47
29,9,60,40,7.70,45.80,0.33
30,9,65,30,13.35,45.84,0.30
31,9,65,35,16.55,45.84,0.47
32,9,65,40,7.70,45.80,0.33
33,9,70,30,25.56,45.84,0.83
34,9,70,35,29.11,45.84,1.42
35,9,70,40,19.30,45.80,24.30
36,10,55,30,119.26,46.34,0.80
37,10,55,35,19.98,45.84,0.60
38,10,55,40,5.45,45.80,0.10
39,10,60,30,119.26,46.34,0.80
40,10,60,35,19.98,45.84,0.60
41,10,60,40,5.45,45.80,0.10
42,10,65,30,142.89,46.34,0.96
43,10,65,35,32.91,45.84,1.66
44,10,65,40,16.81,45.80,2.03
45,10,70,30,142.89,46.34,0.96
46,10,70,35,32.91,45.84,1.66
47,10,70,40,16.81,45.80,2.03
48,11,55,30,119.26,46.34,0.80
49,11,55,35,13.35,45.84,0.30
50,11,55,40,9.33,45.80,0.28
