,pfast,pmid,pslow,return,dd,sharpe
0,3,10,10,-15.31,25.27,-0.43
1,3,10,10,35.61,22.31,7.09
2,3,10,10,-99.78,117.84,-0.96
3,3,10,10,-99.78,117.84,-0.96
4,3,10,10,-99.78,117.84,-0.96
5,3,10,10,-99.79,117.84,-1.03
6,3,10,10,-99.79,117.84,-1.03
7,3,10,10,-99.79,117.84,-1.03
8,3,10,10,-99.79,117.84,-1.03
9,3,10,10,-99.81,117.84,-1.10
10,3,10,10,-99.79,117.84,-1.02
11,3,10,10,-99.79,117.84,-1.02
12,3,10,10,-99.79,117.84,-1.02
13,3,10,10,-99.80,117.84,-1.05
14,3,10,10,-3.68,22.31,-1.63
15,3,10,10,-3.68,22.31,-1.63
16,3,10,10,-3.68,22.31,-1.63
17,3,10,10,-3.68,22.31,-1.63
18,3,10,10,-3.03,22.31,-1.74
19,3,10,10,-5.84,24.35,-0.33
20,3,11,11,-13.20,25.47,-10.54
21,3,11,11,-13.20,25.47,-10.54
22,3,11,11,-13.20,25.47,-10.54
23,3,11,11,-39.78,35.08,-0.86
24,3,11,11,-39.78,35.08,-0.86
25,3,11,11,-43.49,35.08,-1.11
26,3,11,11,-43.49,35.08,-1.11
27,3,11,11,-43.49,35.08,-1.11
28,3,11,11,-43.49,35.08,-1.11
29,3,11,11,-43.13,35.08,-1.08
30,3,11,11,-43.13,35.08,-1.08
31,3,11,11,-44.77,35.08,-1.21
32,3,11,11,-44.77,35.08,-1.21
33,3,11,11,-44.77,35.08,-1.21
34,3,11,11,-3.68,22.31,-1.63
35,3,11,11,-3.68,22.31,-1.63
36,3,11,11,-3.68,22.31,-1.63
37,3,11,11,-3.03,22.31,-1.74
38,3,11,11,-5.84,24.35,-0.33
39,3,11,11,-5.84,24.35,-0.33
40,3,12,12,-30.50,29.28,-0.82
41,3,12,12,-30.50,29.28,-0.82
42,3,12,12,-34.78,29.28,-1.14
43,3,12,12,-34.78,29.28,-1.14
44,3,12,12,-43.49,35.08,-1.11
45,3,12,12,-43.49,35.08,-1.11
46,3,12,12,-43.49,35.08,-1.11
47,3,12,12,-43.49,35.08,-1.11
48,3,12,12,-38.52,35.08,-0.79
49,3,12,12,-43.13,35.08,-1.08
50,3,12,12,-44.77,35.08,-1.21
51,3,12,12,-44.77,35.08,-1.21
52,3,12,12,-44.77,35.08,-1.21
53,3,12,12,-44.77,35.08,-1.21
54,3,12,12,-3.03,22.31,-1.74
55,3,12,12,-3.03,22.31,-1.74
56,3,12,12,-3.03,22.31,-1.74
57,3,12,12,-3.03,22.31,-1.74
58,3,12,12,-7.30,28.26,-28.40
59,3,12,12,-12.52,29.91,-0.76
60,3,13,13,-34.95,32.17,-0.84
61,3,13,13,-38.96,32.17,-1.12
62,3,13,13,-38.96,32.17,-1.12
63,3,13,13,-38.96,32.17,-1.12
64,3,13,13,-41.52,33.72,-1.11
65,3,13,13,-41.52,33.72,-1.11
66,3,13,13,-36.38,33.72,-0.78
67,3,13,13,-36.38,33.72,-0.78
68,3,13,13,-36.38,33.72,-0.78
69,3,13,13,-38.76,33.72,-0.92
70,3,13,13,-39.26,33.72,-0.95
71,3,13,13,-39.26,33.72,-0.95
72,3,13,13,-38.81,33.72,-0.92
73,3,13,13,13.81,25.46,0.55
74,3,13,13,-1.31,22.31,-2.29
75,3,13,13,-1.31,22.31,-2.29
76,3,13,13,-5.65,28.26,-4.56
77,3,13,13,-11.02,29.19,-4.33
78,3,13,13,-11.02,29.19,-4.33
79,3,13,13,-10.28,28.89,-0.73
80,3,14,14,-34.33,31.85,-0.84
81,3,14,14,-38.38,31.85,-1.12
82,3,14,14,-38.38,31.85,-1.12
83,3,14,14,-38.96,32.17,-1.12
84,3,14,14,-38.96,32.17,-1.12
85,3,14,14,-36.38,33.72,-0.78
86,3,14,14,-36.38,33.72,-0.78
87,3,14,14,-38.76,33.72,-0.92
88,3,14,14,-38.76,33.72,-0.92
89,3,14,14,-38.76,33.72,-0.92
90,3,14,14,-38.76,33.72,-0.92
91,3,14,14,-38.76,33.72,-0.92
92,3,14,14,-38.11,33.72,-0.88
93,3,14,14,21.98,25.46,1.63
94,3,14,14,5.77,22.31,0.36
95,3,14,14,-3.92,28.26,-2.01
96,3,14,14,-3.92,28.26,-2.01
