,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
0,15,3,5,14,-47.20,38.58,-1.07
1,15,3,5,21,-69.30,49.37,-1.79
2,15,3,5,28,-73.31,52.79,-1.69
3,15,3,5,35,-78.03,57.17,-1.57
4,15,3,6,14,-38.96,34.90,-1.09
5,15,3,6,21,-38.96,34.90,-1.09
6,15,3,6,28,-62.39,43.32,-2.04
7,15,3,6,35,-62.49,43.40,-2.03
8,15,3,7,14,-22.41,16.86,-0.74
9,15,3,7,21,-58.26,40.56,-1.71
10,15,3,7,28,-75.81,54.76,-1.61
11,15,3,7,35,-77.63,56.49,-1.58
12,15,3,8,14,227.52,9.82,0.98
13,15,3,8,21,-52.79,36.79,-2.66
14,15,3,8,28,-60.01,41.83,-2.14
15,15,3,8,35,-60.13,41.91,-2.14
16,15,3,9,14,293.88,9.82,0.98
17,15,3,9,21,0.00,0.00,
18,15,3,9,28,-30.88,16.94,-11.52
19,15,3,9,35,-31.08,17.06,-12.62
20,15,3,10,14,348.02,10.07,0.98
21,15,3,10,21,17.59,49.70,0.28
22,15,3,10,28,-15.30,9.93,-1.25
23,15,3,10,35,-27.53,14.95,-23.89
24,15,4,5,14,-72.52,52.96,-1.04
25,15,4,5,21,-78.85,58.73,-1.04
26,15,4,5,28,-82.59,62.55,-1.03
27,15,4,5,35,-88.37,66.76,-1.43
28,15,4,6,14,-50.82,40.80,-1.08
29,15,4,6,21,-55.28,43.55,-1.07
30,15,4,6,28,-77.05,55.72,-1.59
31,15,4,6,35,-78.78,57.42,-1.56
32,15,4,7,14,-17.85,16.98,-0.47
33,15,4,7,21,-64.64,45.29,-1.94
34,15,4,7,28,-76.84,55.73,-1.61
35,15,4,7,35,-78.52,57.36,-1.58
36,15,4,8,14,208.36,9.87,1.07
37,15,4,8,21,-41.53,33.22,-1.08
38,15,4,8,28,-52.29,36.46,-2.54
39,15,4,8,35,-57.95,40.35,-2.15
40,15,4,9,14,293.88,9.82,0.98
41,15,4,9,21,0.00,0.00,
42,15,4,9,28,-15.30,9.93,-1.25
43,15,4,9,35,-27.53,14.95,-23.89
44,15,4,10,14,348.02,10.07,0.98
45,15,4,10,21,15.59,50.13,0.25
46,15,4,10,28,-19.95,10.53,-1.29
47,15,4,10,35,-19.95,10.53,-1.29
48,15,5,5,14,-75.03,51.60,-1.04
49,15,5,5,21,-84.28,61.35,-1.47
50,15,5,5,28,-87.06,64.93,-1.43
51,15,5,5,35,-88.12,66.40,-1.42
52,15,5,6,14,-54.43,42.85,-0.74
53,15,5,6,21,-66.01,46.11,-1.86
54,15,5,6,28,-77.05,55.72,-1.59
55,15,5,6,35,-78.78,57.42,-1.56
56,15,5,7,14,-22.41,16.86,-0.74
57,15,5,7,21,-64.64,45.29,-1.94
58,15,5,7,28,-76.84,55.73,-1.61
59,15,5,7,35,-78.52,57.36,-1.58
60,15,5,8,14,208.36,9.87,1.07
61,15,5,8,21,0.00,0.00,
62,15,5,8,28,-18.40,9.67,-1.21
63,15,5,8,35,-28.08,16.75,-5.00
64,15,5,9,14,293.88,9.82,0.98
65,15,5,9,21,0.00,0.00,
66,15,5,9,28,-15.30,9.93,-1.25
67,15,5,9,35,-27.53,14.95,-23.89
