,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
0,5,14,2,10,10,25,48.70,7.54,0.75
1,5,14,2,10,10,30,42.54,8.57,0.66
2,5,14,2,10,10,35,43.11,9.21,0.70
3,5,14,2,10,10,40,-7.23,11.05,-10.83
4,5,14,2,10,10,45,54.27,10.02,0.82
5,5,14,2,15,10,25,36.32,8.21,0.59
6,5,14,2,15,10,30,32.54,8.46,0.54
7,5,14,2,15,10,35,33.83,8.95,0.59
8,5,14,2,15,10,40,49.81,9.41,0.72
9,5,14,2,15,10,45,44.10,9.77,0.73
10,5,14,2,20,10,25,54.64,7.56,0.71
11,5,14,2,20,10,30,53.68,8.12,0.70
12,5,14,2,20,10,35,56.34,8.59,0.75
13,5,14,2,20,10,40,63.90,9.00,0.80
14,5,14,2,20,10,45,49.93,9.33,0.80
15,5,14,2,25,10,25,56.57,8.10,0.68
16,5,14,2,25,10,30,55.60,9.40,0.67
17,5,14,2,25,10,35,58.39,10.18,0.71
18,5,14,2,25,10,40,64.69,10.85,0.75
19,5,14,2,25,10,45,49.42,11.42,0.73
20,5,14,2,10,15,25,54.96,7.06,0.81
21,5,14,2,10,15,30,49.49,8.54,0.74
22,5,14,2,10,15,35,50.42,9.19,0.79
23,5,14,2,10,15,40,-5.74,11.02,-4.69
24,5,14,2,10,15,45,51.68,9.98,0.71
25,5,14,2,15,15,25,40.82,8.20,0.63
26,5,14,2,15,15,30,37.87,8.84,0.61
27,5,14,2,15,15,35,39.24,9.33,0.66
28,5,14,2,15,15,40,51.08,9.79,0.76
29,5,14,2,15,15,45,40.15,10.15,0.60
30,5,14,2,20,15,25,55.70,7.57,0.73
31,5,14,2,20,15,30,56.26,8.50,0.74
32,5,14,2,20,15,35,58.89,8.96,0.79
33,5,14,2,20,15,40,65.05,9.38,0.84
34,5,14,2,20,15,45,45.67,9.71,0.65
35,5,14,2,25,15,25,56.87,8.01,0.68
36,5,14,2,25,15,30,57.11,9.82,0.69
37,5,14,2,25,15,35,59.96,10.62,0.73
38,5,14,2,25,15,40,65.03,11.29,0.77
39,5,14,2,25,15,45,43.37,11.86,0.58
40,5,14,2,10,20,25,56.73,7.05,0.80
41,5,14,2,10,20,30,53.98,8.47,0.75
42,5,14,2,10,20,35,56.50,9.10,0.80
43,5,14,2,10,20,40,-11.11,10.94,-4.31
44,5,14,2,10,20,45,51.50,9.91,0.71
45,5,14,2,15,20,25,42.17,8.21,0.63
46,5,14,2,15,20,30,41.79,8.77,0.63
47,5,14,2,15,20,35,44.56,9.26,0.68
48,5,14,2,15,20,40,42.46,9.71,0.60
