,period,return,dd,sharpe
0,7,-21.54,11.96,-1.20
1,8,-5.41,8.88,-0.90
2,9,-5.61,7.90,-7.45
3,10,-6.49,8.24,-1.73
4,11,-9.04,8.77,-4.21
5,12,3.85,8.09,-0.03
6,13,2.08,8.62,-0.43
7,14,2.49,8.79,-0.31
8,15,6.29,7.38,0.39
9,16,5.75,7.10,0.33
10,17,6.53,7.15,1.74
11,18,3.63,7.40,-0.10
12,19,5.44,6.81,0.22
13,20,5.63,7.01,0.24
14,21,2.65,7.86,-0.14
15,22,2.61,8.13,-0.15
16,23,2.62,8.27,-0.15
17,24,-2.04,10.54,-1.33
18,25,-1.60,10.44,-1.16
19,26,-1.59,10.37,-1.08
20,27,-7.30,11.45,-56.64
21,28,-8.15,11.08,-6.08
