,fast_period,slow_period,sig_period,return,dd,sharpe
0,7,21,7,-5.70,3.00,-2.62
1,7,21,8,-4.47,2.37,-3.44
2,7,21,9,-2.63,1.97,-11.01
3,7,21,10,-2.63,1.97,-11.01
4,7,21,11,-2.39,1.85,-10.64
5,7,21,12,-0.66,1.67,-3.93
6,7,21,13,-0.66,1.67,-3.93
7,7,21,14,-0.95,1.67,-5.47
8,7,22,7,-4.84,2.56,-3.12
9,7,22,8,-4.46,2.37,-3.42
10,7,22,9,-2.63,1.97,-11.01
11,7,22,10,-2.63,1.97,-11.01
12,7,22,11,-1.24,1.69,-2.97
13,7,22,12,-0.66,1.67,-3.93
14,7,22,13,-0.66,1.67,-3.93
15,7,22,14,-1.02,1.71,-5.12
16,7,23,7,-4.49,2.38,-3.42
17,7,23,8,-4.46,2.37,-3.42
18,7,23,9,-2.63,1.97,-11.01
19,7,23,10,-2.51,1.91,-9.01
20,7,23,11,-0.79,1.73,-3.66
21,7,23,12,-0.66,1.67,-3.93
22,7,23,13,-0.95,1.67,-5.47
23,7,23,14,-1.02,1.71,-5.12
24,7,24,7,-4.47,2.37,-3.44
25,7,24,8,-4.46,2.37,-3.42
26,7,24,9,-4.46,2.37,-3.42
27,7,24,10,-0.33,3.26,-2.96
28,7,24,11,-0.79,1.73,-3.66
29,7,24,12,-0.66,1.67,-3.93
30,7,24,13,-1.02,1.71,-5.12
31,7,24,14,-1.02,1.71,-5.12
32,7,25,7,-4.46,2.37,-3.42
33,7,25,8,-4.46,2.37,-3.42
34,7,25,9,-0.44,3.31,-2.82
35,7,25,10,-1.36,1.75,-2.85
36,7,25,11,-0.79,1.73,-3.66
37,7,25,12,-1.07,1.73,-4.94
38,7,25,13,-1.15,1.77,-4.65
39,7,25,14,-1.15,1.77,-4.65
40,7,26,7,-0.44,3.31,-2.82
41,7,26,8,-0.44,3.31,-2.82
42,7,26,9,-2.63,1.97,-11.01
43,7,26,10,-1.36,1.75,-2.85
44,7,26,11,-0.79,1.73,-3.66
45,7,26,12,-1.15,1.77,-4.65
46,7,26,13,-1.15,1.77,-4.65
47,7,26,14,-0.78,1.70,-6.45
48,7,27,7,-0.44,3.31,-2.82
49,7,27,8,-2.63,1.97,-11.01
50,7,27,9,-2.51,1.91,-9.01
51,7,27,10,-1.36,1.75,-2.85
52,7,27,11,-0.87,1.77,-3.50
53,7,27,12,-1.15,1.77,-4.65
54,7,27,13,-1.15,1.77,-4.65
55,7,27,14,-0.78,1.70,-6.45
56,7,28,7,-2.63,1.97,-11.01
57,7,28,8,-2.63,1.97,-11.01
58,7,28,9,-2.51,1.91,-9.01
59,7,28,10,-1.36,1.75,-2.85
60,7,28,11,-1.15,1.77,-4.65
61,7,28,12,-1.15,1.77,-4.65
62,7,28,13,-0.78,1.70,-6.45
63,7,28,14,-0.78,1.70,-6.45
64,7,29,7,-2.63,1.97,-11.01
65,7,29,8,-2.63,1.97,-11.01
66,7,29,9,-2.51,1.91,-9.01
67,7,29,10,-1.36,1.75,-2.85
68,7,29,11,-1.15,1.77,-4.65
