,period,overbought,oversold,return,dd,sharpe
0,7,55,30,11.07,7.17,0.63
1,7,55,35,-14.11,15.64,-1.28
2,7,55,40,-25.78,17.97,-1.15
3,7,60,30,12.64,7.02,0.67
4,7,60,35,-12.90,14.86,-1.30
5,7,60,40,-24.67,17.27,-1.15
6,7,65,30,3.68,0.07,-0.10
7,7,65,35,-19.82,11.50,-1.19
8,7,65,40,-28.18,16.69,-1.13
9,7,70,30,3.68,0.07,-0.10
10,7,70,35,-19.82,11.50,-1.19
11,7,70,40,-28.18,16.69,-1.13
12,8,55,30,11.07,7.17,0.63
13,8,55,35,-14.11,15.64,-1.28
14,8,55,40,-25.78,17.97,-1.15
15,8,60,30,12.64,7.02,0.67
16,8,60,35,-12.90,14.86,-1.30
17,8,60,40,-24.67,17.27,-1.15
18,8,65,30,3.68,0.07,-0.10
19,8,65,35,-19.82,11.50,-1.19
20,8,65,40,-28.18,16.69,-1.13
21,8,70,30,3.68,0.07,-0.10
22,8,70,35,-18.56,11.50,-1.21
23,8,70,40,-27.03,16.69,-1.14
24,9,55,30,7.11,7.16,0.42
25,9,55,35,-16.27,16.67,-1.24
26,9,55,40,-25.00,21.58,-1.15
27,9,60,30,8.63,7.01,0.52
28,9,60,35,-15.06,15.93,-1.26
29,9,60,40,-23.95,20.85,-1.16
30,9,65,30,0.00,0.00,
31,9,65,35,-21.82,11.50,-1.17
32,9,65,40,-29.99,16.69,-1.12
33,9,70,30,0.00,0.00,
34,9,70,35,-21.82,11.50,-1.17
35,9,70,40,-29.99,16.69,-1.12
36,10,55,30,7.11,7.16,0.42
37,10,55,35,-16.27,16.67,-1.24
38,10,55,40,-22.85,20.37,-1.17
39,10,60,30,8.63,7.01,0.52
40,10,60,35,-15.06,15.93,-1.26
41,10,60,40,-21.74,19.65,-1.17
42,10,65,30,0.00,0.00,
43,10,65,35,-21.82,11.50,-1.17
44,10,65,40,-23.44,18.74,-1.16
45,10,70,30,0.00,0.00,
46,10,70,35,-21.82,11.50,-1.17
47,10,70,40,-23.44,18.74,-1.16
48,11,55,30,7.11,7.16,0.42
49,11,55,35,-16.27,16.67,-1.24
50,11,55,40,-13.67,15.41,-1.28
51,11,60,30,8.63,7.01,0.52
52,11,60,35,-15.06,15.93,-1.26
53,11,60,40,-6.95,13.68,-1.57
54,11,65,30,0.00,0.00,
55,11,65,35,-21.82,11.50,-1.17
56,11,65,40,-14.34,13.68,-1.27
57,11,70,30,0.00,0.00,
58,11,70,35,-21.82,11.50,-1.17
59,11,70,40,-18.62,13.68,-1.21
60,12,55,30,8.63,7.01,0.52
61,12,55,35,-15.06,15.93,-1.26
62,12,55,40,-12.42,14.65,-1.31
63,12,60,30,0.00,0.00,
64,12,60,35,-21.82,11.50,-1.17
65,12,60,40,-14.34,13.68,-1.27
66,12,65,30,0.00,0.00,
67,12,65,35,-21.82,11.50,-1.17
68,12,65,40,-14.34,13.68,-1.27
69,12,70,30,0.00,0.00,
70,12,70,35,-21.82,11.50,-1.17
71,12,70,40,-18.62,13.68,-1.21
72,13,55,30,8.63,7.01,0.52
73,13,55,35,12.64,7.02,0.67
74,13,55,40,-12.42,14.65,-1.31
75,13,60,30,0.00,0.00,
76,13,60,35,3.68,0.07,-0.10
77,13,60,40,-14.34,13.68,-1.27
78,13,65,30,0.00,0.00,
79,13,65,35,3.68,0.07,-0.10
80,13,65,40,-18.62,13.68,-1.21
81,13,70,30,0.00,0.00,
82,13,70,35,3.68,0.07,-0.10
83,13,70,40,-18.62,13.68,-1.21
84,14,55,30,8.63,7.01,0.52
85,14,55,35,12.64,7.02,0.67
86,14,55,40,-5.01,12.80,-1.79
87,14,60,30,0.00,0.00,
88,14,60,35,3.68,0.07,-0.10
89,14,60,40,-12.56,12.80,-1.31
90,14,65,30,0.00,0.00,
91,14,65,35,3.68,0.07,-0.10
92,14,65,40,-16.93,12.80,-1.23
93,14,70,30,0.00,0.00,
94,14,70,35,3.68,0.07,-0.10
95,14,70,40,-16.93,12.80,-1.23
96,15,55,30,8.63,7.01,0.52
97,15,55,35,12.64,7.02,0.67
98,15,55,40,-1.46,11.19,-3.75
99,15,60,30,0.00,0.00,
100,15,60,35,3.68,0.07,-0.10
101,15,60,40,-9.31,11.19,-1.42
102,15,65,30,0.00,0.00,
103,15,65,35,3.68,0.07,-0.10
104,15,65,40,-13.83,11.19,-1.28
105,15,70,30,0.00,0.00,
106,15,70,35,3.68,0.07,-0.10
107,15,70,40,-13.83,11.19,-1.28
108,16,55,30,8.63,7.01,0.52
109,16,55,35,12.64,7.02,0.67
110,16,55,40,1.26,9.98,-2.20
111,16,60,30,0.00,0.00,
112,16,60,35,3.68,0.07,-0.10
113,16,60,40,-11.43,9.98,-1.34
114,16,65,30,0.00,0.00,
