,pfast,pmid,pslow,return,dd,sharpe
0,3,10,21,1.73,3.39,-0.28
1,3,10,22,1.73,3.39,-0.28
2,3,10,23,-6.51,6.21,-3.10
3,3,10,24,-6.66,6.29,-3.05
4,3,10,25,-6.71,6.31,-3.04
5,3,10,26,-6.61,6.26,-3.07
6,3,10,27,-8.15,7.03,-6.07
7,3,10,28,-6.36,6.14,-2.73
8,3,10,29,-6.61,6.26,-3.07
9,3,10,30,-3.92,4.91,-2.50
10,3,10,31,-6.66,6.29,-3.05
11,3,10,32,-7.27,3.77,-9.86
12,3,10,33,-7.27,3.77,-9.86
13,3,10,34,-7.27,3.77,-9.86
14,3,10,35,-7.27,3.77,-9.86
15,3,10,36,-7.27,3.77,-9.86
16,3,10,37,-7.27,3.77,-9.86
17,3,10,38,-7.27,3.77,-9.86
18,3,10,39,-7.27,3.77,-9.86
19,3,10,40,-7.27,3.77,-9.86
20,3,11,21,0.22,3.80,-0.45
21,3,11,22,0.40,3.80,-0.42
22,3,11,23,-8.28,5.24,-7.98
23,3,11,24,-7.56,4.42,-71.24
24,3,11,25,-7.56,4.42,-71.24
25,3,11,26,-7.56,4.42,-71.24
26,3,11,27,-7.56,4.42,-71.24
27,3,11,28,-7.74,4.52,-15.78
28,3,11,29,-7.56,4.42,-71.24
29,3,11,30,-7.56,4.42,-71.24
30,3,11,31,-7.56,4.42,-71.24
31,3,11,32,-7.56,4.42,-71.24
32,3,11,33,-7.56,4.42,-71.24
33,3,11,34,-7.56,4.42,-71.24
34,3,11,35,-7.56,4.42,-71.24
35,3,11,36,-7.56,4.42,-71.24
36,3,11,37,-7.56,4.42,-71.24
37,3,11,38,-7.56,4.42,-71.24
38,3,11,39,-6.75,4.00,-11.03
39,3,11,40,-6.75,4.00,-11.03
40,3,12,21,-5.37,6.46,-9.04
41,3,12,22,-5.45,6.50,-9.08
42,3,12,23,-9.93,5.16,-4.17
43,3,12,24,-12.62,6.60,-5.98
44,3,12,25,-12.46,6.96,-6.50
45,3,12,26,-9.84,5.56,-4.89
46,3,12,27,-9.60,5.37,-5.08
47,3,12,28,-9.17,5.00,-6.09
48,3,12,29,-10.08,5.24,-4.46
49,3,12,30,-10.04,5.22,-4.38
50,3,12,31,-10.01,5.20,-4.31
51,3,12,32,-9.08,4.71,-16.77
52,3,12,33,-9.08,4.71,-16.77
53,3,12,34,-9.08,4.71,-16.77
54,3,12,35,-9.08,4.71,-16.77
55,3,12,36,-9.08,4.71,-16.77
56,3,12,37,-9.08,4.71,-16.77
57,3,12,38,-9.08,4.71,-16.77
58,3,12,39,-9.08,4.71,-16.77
59,3,12,40,-9.08,4.71,-16.77
60,3,13,21,-4.47,6.02,-4.37
61,3,13,22,-5.33,6.44,-7.47
62,3,13,23,-10.07,5.24,-4.04
63,3,13,24,-10.16,5.27,-4.09
64,3,13,25,-12.46,6.96,-6.50
65,3,13,26,-9.84,5.56,-4.89
66,3,13,27,-9.58,5.42,-5.12
67,3,13,28,-9.42,5.27,-5.56
68,3,13,29,-10.08,5.24,-4.46
69,3,13,30,-10.04,5.22,-4.38
70,3,13,31,-10.01,5.20,-4.31
71,3,13,32,-9.08,4.71,-16.77
72,3,13,33,-9.08,4.71,-16.77
73,3,13,34,-9.08,4.71,-16.77
74,3,13,35,-9.08,4.71,-16.77
75,3,13,36,-9.08,4.71,-16.77
76,3,13,37,-9.08,4.71,-16.77
77,3,13,38,-9.08,4.71,-16.77
78,3,13,39,-9.08,4.71,-16.77
79,3,13,40,-9.08,4.71,-16.77
80,3,14,21,-9.35,4.86,-4.31
81,3,14,22,-9.50,4.94,-4.38
82,3,14,23,-9.07,4.70,-2.81
83,3,14,24,-9.07,4.70,-2.81
84,3,14,25,-8.85,5.05,-2.90
85,3,14,26,-8.62,4.93,-3.00
86,3,14,27,-8.56,4.88,-3.03
87,3,14,28,-8.36,4.71,-3.13
88,3,14,29,-9.07,4.70,-2.81
89,3,14,30,-9.07,4.70,-2.81
90,3,14,31,-9.07,4.70,-2.81
91,3,14,32,-5.32,3.57,-1.96
92,3,14,33,-5.09,3.57,-1.82
93,3,14,34,-5.09,3.57,-1.82
94,3,14,35,-5.09,3.57,-1.82
95,3,14,36,-5.09,3.57,-1.82
96,3,14,37,-5.09,3.57,-1.82
97,3,14,38,-5.09,3.57,-1.82
98,3,14,39,-5.09,3.57,-1.82
99,3,14,40,-5.09,3.57,-1.82
100,3,15,21,-9.73,5.29,-3.95
101,3,15,22,-9.18,5.35,-4.78
102,3,15,23,-7.41,4.98,-3.93
103,3,15,24,-5.81,2.95,-7.39
104,3,15,25,-4.74,3.89,-51.86
105,3,15,26,-4.74,3.89,-51.86
106,3,15,27,-8.57,4.88,-3.03
107,3,15,28,-8.37,4.71,-3.13
108,3,15,29,-8.77,4.49,-5.25
109,3,15,30,-5.81,2.95,-7.39
110,3,15,31,-5.81,2.95,-7.39
111,3,15,32,-9.47,4.86,-5.66
112,3,15,33,-9.55,4.90,-5.71
113,3,15,34,-9.55,4.90,-5.71
114,3,15,35,-9.16,4.72,-8.38
115,3,15,36,-9.16,4.72,-8.38
116,3,15,37,-5.03,2.56,-16.88
117,3,15,38,-5.03,2.56,-16.88
118,3,15,39,-5.03,2.56,-16.88
119,3,15,40,-5.03,2.56,-16.88
120,3,16,21,-8.83,4.79,-5.14
121,3,16,22,-5.51,3.08,-9.30
122,3,16,23,-9.28,5.01,-4.05
123,3,16,24,-7.97,4.40,-6.45
124,3,16,25,-8.58,5.28,-5.10
125,3,16,26,-8.65,5.34,-5.00
126,3,16,27,-8.58,5.28,-5.10
127,3,16,28,-8.38,5.12,-5.46
128,3,16,29,-7.97,4.40,-6.45
129,3,16,30,-7.97,4.40,-6.45
130,3,16,31,-7.97,4.40,-6.45
131,3,16,32,-3.89,2.85,-3.55
132,3,16,33,-3.89,2.85,-3.55
133,3,16,34,-3.89,2.85,-3.55
134,3,16,35,-3.89,2.85,-3.55
135,3,16,36,-3.89,2.85,-3.55
136,3,16,37,-3.89,2.85,-3.55
137,3,16,38,-3.89,2.85,-3.55
138,3,16,39,-3.89,2.85,-3.55
139,3,16,40,-3.89,2.85,-3.55
140,3,17,21,-8.57,4.38,-5.63
141,3,17,22,-7.67,3.98,-1.95
142,3,17,23,-9.92,5.08,-3.55
143,3,17,24,-7.70,4.39,-7.37
144,3,17,25,-9.27,5.27,-4.06
145,3,17,26,-9.34,5.33,-4.00
146,3,17,27,-9.27,5.27,-4.06
147,3,17,28,-7.90,4.45,-6.67
148,3,17,29,-7.70,4.39,-7.37
149,3,17,30,-7.70,4.39,-7.37
150,3,17,31,-7.70,4.39,-7.37
151,3,17,32,-3.62,2.85,-3.90
152,3,17,33,-3.62,2.85,-3.90
153,3,17,34,-3.62,2.85,-3.90
154,3,17,35,-3.62,2.85,-3.90
155,3,17,36,-3.62,2.85,-3.90
156,3,17,37,-3.62,2.85,-3.90
157,3,17,38,-3.62,2.85,-3.90
158,3,17,39,-3.62,2.85,-3.90
159,3,17,40,-3.62,2.85,-3.90
160,3,18,21,-7.39,3.82,-2.05
161,3,18,22,-9.10,4.65,-3.20
162,3,18,23,-2.62,5.54,-2.57
163,3,18,24,-8.48,5.39,-5.28
164,3,18,25,-3.56,3.28,-2.37
165,3,18,26,-7.97,5.54,-9.21
166,3,18,27,-7.96,4.45,-6.48
167,3,18,28,-7.96,4.45,-6.48
168,3,18,29,-8.77,4.49,-5.25
169,3,18,30,-8.92,4.57,-5.34
170,3,18,31,-9.23,4.73,-5.52
171,3,18,32,-9.47,4.86,-5.66
172,3,18,33,-9.55,4.90,-5.71
173,3,18,34,-9.16,4.72,-8.38
174,3,18,35,-9.16,4.72,-8.38
175,3,18,36,-6.38,3.26,-8.07
176,3,18,37,-6.38,3.26,-8.07
177,3,18,38,-6.38,3.26,-8.07
178,3,18,39,-4.22,2.14,-85.66
179,3,18,40,-5.83,2.96,-34.96
180,3,19,21,1.67,3.89,-1.15
181,3,19,22,-8.82,4.50,-2.91
182,3,19,23,-3.35,5.89,-5.96
183,3,19,24,-3.17,5.38,-5.08
184,3,19,25,-4.01,3.44,-3.02
185,3,19,26,-3.50,3.28,-2.25
186,3,19,27,-7.17,4.05,-4.18
187,3,19,28,-7.17,4.05,-4.18
188,3,19,29,-8.77,4.49,-5.25
189,3,19,30,-8.92,4.57,-5.34
