,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
0,15,3,5,14,-0.21,3.68,-0.99
1,15,3,5,21,-3.03,5.04,-4.83
2,15,3,5,28,-3.03,5.04,-4.83
3,15,3,5,35,-5.16,3.43,-11.99
4,15,3,6,14,-0.51,3.97,-1.11
5,15,3,6,21,-0.51,3.97,-1.11
6,15,3,6,28,-0.51,3.97,-1.11
7,15,3,6,35,-5.89,3.61,-6.63
8,15,3,7,14,-0.31,3.81,-1.04
9,15,3,7,21,-0.31,3.81,-1.04
10,15,3,7,28,-0.31,3.81,-1.04
11,15,3,7,35,-5.01,3.61,-14.72
12,15,3,8,14,-6.58,3.95,-4.68
13,15,3,8,21,-6.58,3.95,-4.68
14,15,3,8,28,-6.58,3.95,-4.68
15,15,3,8,35,-6.58,3.95,-4.68
16,15,3,9,14,-1.02,2.75,-5.14
17,15,3,9,21,-3.23,2.75,-5.76
18,15,3,9,28,-7.18,3.97,-5.13
19,15,3,9,35,-7.18,3.97,-5.13
20,15,3,10,14,-7.37,3.82,-3.32
21,15,3,10,21,-7.27,3.77,-3.18
22,15,3,10,28,-7.27,3.77,-3.18
23,15,3,10,35,-7.27,3.77,-3.18
24,15,4,5,14,-0.21,3.68,-0.99
25,15,4,5,21,-0.21,3.68,-0.99
26,15,4,5,28,-0.21,3.68,-0.99
27,15,4,5,35,-5.16,3.43,-11.99
28,15,4,6,14,-0.51,3.97,-1.11
29,15,4,6,21,-0.51,3.97,-1.11
30,15,4,6,28,-0.51,3.97,-1.11
31,15,4,6,35,-5.89,3.61,-6.63
32,15,4,7,14,-0.31,3.81,-1.04
33,15,4,7,21,-0.31,3.81,-1.04
34,15,4,7,28,-0.31,3.81,-1.04
35,15,4,7,35,-5.15,3.53,-12.17
36,15,4,8,14,-6.62,3.97,-4.61
37,15,4,8,21,-6.62,3.97,-4.61
38,15,4,8,28,-6.62,3.97,-4.61
39,15,4,8,35,-6.62,3.97,-4.61
40,15,4,9,14,-1.02,2.75,-5.14
41,15,4,9,21,-3.23,2.75,-5.76
42,15,4,9,28,-7.18,3.97,-5.13
43,15,4,9,35,-7.18,3.97,-5.13
44,15,4,10,14,-2.90,3.20,-3.64
45,15,4,10,21,-2.90,3.20,-3.64
46,15,4,10,28,-5.31,2.77,-5.87
47,15,4,10,35,-5.31,2.77,-5.87
48,15,5,5,14,-0.21,3.68,-0.99
49,15,5,5,21,-0.21,3.68,-0.99
50,15,5,5,28,-0.21,3.68,-0.99
51,15,5,5,35,-5.16,3.43,-11.99
52,15,5,6,14,-0.51,3.97,-1.11
53,15,5,6,21,-0.26,3.86,-0.99
54,15,5,6,28,-0.26,3.86,-0.99
55,15,5,6,35,-5.89,3.61,-6.63
56,15,5,7,14,-0.08,3.70,-0.93
57,15,5,7,21,-0.19,3.75,-0.98
58,15,5,7,28,-0.19,3.75,-0.98
59,15,5,7,35,-5.31,3.59,-10.27
60,15,5,8,14,-6.58,3.95,-4.68
61,15,5,8,21,-6.58,3.95,-4.68
62,15,5,8,28,-6.58,3.95,-4.68
63,15,5,8,35,-6.58,3.95,-4.68
64,15,5,9,14,-1.02,2.75,-5.14
65,15,5,9,21,-3.23,2.75,-5.76
66,15,5,9,28,-7.18,3.97,-5.13
67,15,5,9,35,-7.18,3.97,-5.13
68,15,5,10,14,-7.37,3.82,-3.32
69,15,5,10,21,-7.27,3.77,-3.18
70,15,5,10,28,-7.27,3.77,-3.18
71,15,5,10,35,-7.27,3.77,-3.18
72,15,6,5,14,0.13,3.67,-0.82
73,15,6,5,21,0.13,3.67,-0.82
74,15,6,5,28,0.13,3.67,-0.82
75,15,6,5,35,-5.30,3.58,-10.28
76,15,6,6,14,0.11,3.68,-0.83
77,15,6,6,21,0.11,3.68,-0.83
78,15,6,6,28,0.11,3.68,-0.83
79,15,6,6,35,-5.56,3.54,-8.22
80,15,6,7,14,-0.08,3.70,-0.93
81,15,6,7,21,-0.19,3.75,-0.98
82,15,6,7,28,-0.19,3.75,-0.98
83,15,6,7,35,-5.15,3.53,-12.17
84,15,6,8,14,-6.58,3.95,-4.68
85,15,6,8,21,-6.58,3.95,-4.68
86,15,6,8,28,-6.58,3.95,-4.68
87,15,6,8,35,-6.58,3.95,-4.68
88,15,6,9,14,-1.02,2.75,-5.14
89,15,6,9,21,-3.23,2.75,-5.76
90,15,6,9,28,-4.66,2.69,-20.00
91,15,6,9,35,-4.66,2.69,-20.00
92,15,6,10,14,-7.37,3.82,-3.32
93,15,6,10,21,-7.27,3.77,-3.18
94,15,6,10,28,-7.27,3.77,-3.18
95,15,6,10,35,-7.27,3.77,-3.18
96,15,7,5,14,0.05,3.56,-0.86
97,15,7,5,21,0.05,3.56,-0.86
98,15,7,5,28,0.05,3.56,-0.86
99,15,7,5,35,-5.29,3.58,-10.39
100,15,7,6,14,0.14,3.59,-0.82
101,15,7,6,21,0.14,3.59,-0.82
102,15,7,6,28,0.14,3.59,-0.82
103,15,7,6,35,-5.55,3.54,-8.29
104,15,7,7,14,-0.08,3.70,-0.93
105,15,7,7,21,-0.19,3.75,-0.98
106,15,7,7,28,-0.19,3.75,-0.98
107,15,7,7,35,-5.31,3.59,-10.27
108,15,7,8,14,-6.58,3.95,-4.68
109,15,7,8,21,-6.58,3.95,-4.68
110,15,7,8,28,-6.58,3.95,-4.68
111,15,7,8,35,-6.58,3.95,-4.68
112,15,7,9,14,-4.66,2.69,-20.00
113,15,7,9,21,-4.66,2.69,-20.00
114,15,7,9,28,-4.66,2.69,-20.00
115,15,7,9,35,-4.66,2.69,-20.00
116,15,7,10,14,-7.37,3.82,-3.32
117,15,7,10,21,-7.27,3.77,-3.18
118,15,7,10,28,-7.27,3.77,-3.18
119,15,7,10,35,-7.27,3.77,-3.18
120,15,8,5,14,0.21,3.48,-0.81
121,15,8,5,21,0.21,3.48,-0.81
122,15,8,5,28,0.21,3.48,-0.81
123,15,8,5,35,-5.18,3.52,-11.73
124,15,8,6,14,0.29,3.59,-0.78
125,15,8,6,21,0.29,3.59,-0.78
126,15,8,6,28,0.29,3.59,-0.78
127,15,8,6,35,-5.44,3.48,-9.07
128,15,8,7,14,0.03,3.64,-0.88
129,15,8,7,21,-0.07,3.69,-0.92
130,15,8,7,28,-0.07,3.69,-0.92
131,15,8,7,35,-2.89,2.37,-4.56
132,15,8,8,14,-4.23,3.46,-48.42
