,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-5.37,25.33,-1.14
1,20,7,7,7,21,9,-5.37,25.33,-1.14
2,20,7,7,7,21,11,-5.37,25.33,-1.14
3,20,7,7,7,21,13,-5.37,25.33,-1.14
4,20,7,7,7,26,7,-5.37,25.33,-1.14
5,20,7,7,7,26,9,-5.37,25.33,-1.14
6,20,7,7,7,26,11,-5.37,25.33,-1.14
7,20,7,7,7,26,13,-17.81,31.84,-4.17
8,20,7,7,7,31,7,-5.37,25.33,-1.14
9,20,7,7,7,31,9,-5.37,25.33,-1.14
10,20,7,7,7,31,11,-5.37,25.33,-1.14
11,20,7,7,7,31,13,-5.37,25.33,-1.14
12,20,7,7,7,36,7,-5.37,25.33,-1.14
13,20,7,7,7,36,9,-5.37,25.33,-1.14
14,20,7,7,7,36,11,-5.37,25.33,-1.14
15,20,7,7,7,36,13,-5.37,25.33,-1.14
16,20,7,7,10,21,7,-5.37,25.33,-1.14
17,20,7,7,10,21,9,-5.37,25.33,-1.14
18,20,7,7,10,21,11,-5.37,25.33,-1.14
19,20,7,7,10,21,13,-17.81,31.84,-4.17
20,20,7,7,10,26,7,-5.37,25.33,-1.14
21,20,7,7,10,26,9,-5.37,25.33,-1.14
22,20,7,7,10,26,11,-17.81,31.84,-4.17
23,20,7,7,10,26,13,-17.81,31.84,-4.17
24,20,7,7,10,31,7,-5.37,25.33,-1.14
25,20,7,7,10,31,9,-17.81,31.84,-4.17
26,20,7,7,10,31,11,-17.81,31.84,-4.17
27,20,7,7,10,31,13,-50.58,36.44,-1.37
28,20,7,7,10,36,7,-5.37,25.33,-1.14
29,20,7,7,10,36,9,-5.37,25.33,-1.14
30,20,7,7,10,36,11,-50.58,36.44,-1.37
31,20,7,7,10,36,13,-50.58,36.44,-1.37
32,20,7,7,13,21,7,-5.37,25.33,-1.14
33,20,7,7,13,21,9,-5.37,25.33,-1.14
34,20,7,7,13,21,11,-17.81,31.84,-4.17
35,20,7,7,13,21,13,-17.81,31.84,-4.17
36,20,7,7,13,26,7,-5.37,25.33,-1.14
37,20,7,7,13,26,9,-17.81,31.84,-4.17
38,20,7,7,13,26,11,-17.81,31.84,-4.17
39,20,7,7,13,26,13,-17.81,31.84,-4.17
40,20,7,7,13,31,7,-17.81,31.84,-4.17
41,20,7,7,13,31,9,-17.81,31.84,-4.17
42,20,7,7,13,31,11,-17.81,31.84,-4.17
43,20,7,7,13,31,13,-33.48,31.17,-1.72
44,20,7,7,13,36,7,-5.37,25.33,-1.14
45,20,7,7,13,36,9,-50.58,36.44,-1.37
46,20,7,7,13,36,11,-50.58,36.44,-1.37
47,20,7,7,13,36,13,-50.58,36.44,-1.37
48,20,7,9,7,21,7,8.26,27.50,0.14
49,20,7,9,7,21,9,8.26,27.50,0.14
