,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,27.72,9.75,0.44
1,20,7,7,7,21,9,27.72,9.75,0.44
2,20,7,7,7,21,11,27.72,9.75,0.44
3,20,7,7,7,21,13,27.72,9.75,0.44
4,20,7,7,7,26,7,27.72,9.75,0.44
5,20,7,7,7,26,9,27.72,9.75,0.44
6,20,7,7,7,26,11,27.72,9.75,0.44
7,20,7,7,7,26,13,27.72,9.75,0.44
8,20,7,7,7,31,7,27.72,9.75,0.44
9,20,7,7,7,31,9,27.72,9.75,0.44
10,20,7,7,7,31,11,27.72,9.75,0.44
11,20,7,7,7,31,13,27.72,9.75,0.44
12,20,7,7,7,36,7,27.72,9.75,0.44
13,20,7,7,7,36,9,27.72,9.75,0.44
14,20,7,7,7,36,11,27.72,9.75,0.44
15,20,7,7,7,36,13,27.72,9.75,0.44
16,20,7,7,10,21,7,27.72,9.75,0.44
17,20,7,7,10,21,9,27.72,9.75,0.44
18,20,7,7,10,21,11,27.72,9.75,0.44
19,20,7,7,10,21,13,27.72,9.75,0.44
20,20,7,7,10,26,7,27.72,9.75,0.44
21,20,7,7,10,26,9,27.72,9.75,0.44
22,20,7,7,10,26,11,27.72,9.75,0.44
23,20,7,7,10,26,13,27.72,9.75,0.44
24,20,7,7,10,31,7,27.72,9.75,0.44
25,20,7,7,10,31,9,27.72,9.75,0.44
26,20,7,7,10,31,11,27.72,9.75,0.44
27,20,7,7,10,31,13,27.72,9.75,0.44
28,20,7,7,10,36,7,27.72,9.75,0.44
29,20,7,7,10,36,9,27.72,9.75,0.44
30,20,7,7,10,36,11,27.72,9.75,0.44
31,20,7,7,10,36,13,27.72,9.75,0.44
32,20,7,7,13,21,7,27.72,9.75,0.44
33,20,7,7,13,21,9,27.72,9.75,0.44
34,20,7,7,13,21,11,27.72,9.75,0.44
35,20,7,7,13,21,13,27.72,9.75,0.44
36,20,7,7,13,26,7,27.72,9.75,0.44
37,20,7,7,13,26,9,27.72,9.75,0.44
38,20,7,7,13,26,11,27.72,9.75,0.44
39,20,7,7,13,26,13,27.72,9.75,0.44
40,20,7,7,13,31,7,27.72,9.75,0.44
41,20,7,7,13,31,9,27.72,9.75,0.44
42,20,7,7,13,31,11,27.72,9.75,0.44
43,20,7,7,13,31,13,27.72,9.75,0.44
44,20,7,7,13,36,7,27.72,9.75,0.44
45,20,7,7,13,36,9,27.72,9.75,0.44
46,20,7,7,13,36,11,27.72,9.75,0.44
47,20,7,7,13,36,13,27.72,9.75,0.44
48,20,7,9,7,21,7,27.72,9.75,0.44
49,20,7,9,7,21,9,27.72,9.75,0.44
50,20,7,9,7,21,11,27.72,9.75,0.44
51,20,7,9,7,21,13,27.72,9.75,0.44
52,20,7,9,7,26,7,27.72,9.75,0.44
53,20,7,9,7,26,9,27.72,9.75,0.44
54,20,7,9,7,26,11,27.72,9.75,0.44
55,20,7,9,7,26,13,27.72,9.75,0.44
56,20,7,9,7,31,7,27.72,9.75,0.44
57,20,7,9,7,31,9,27.72,9.75,0.44
58,20,7,9,7,31,11,27.72,9.75,0.44
59,20,7,9,7,31,13,27.72,9.75,0.44
60,20,7,9,7,36,7,27.72,9.75,0.44
61,20,7,9,7,36,9,27.72,9.75,0.44
62,20,7,9,7,36,11,27.72,9.75,0.44
63,20,7,9,7,36,13,27.72,9.75,0.44
64,20,7,9,10,21,7,27.72,9.75,0.44
65,20,7,9,10,21,9,27.72,9.75,0.44
66,20,7,9,10,21,11,27.72,9.75,0.44
67,20,7,9,10,21,13,27.72,9.75,0.44
68,20,7,9,10,26,7,27.72,9.75,0.44
69,20,7,9,10,26,9,27.72,9.75,0.44
70,20,7,9,10,26,11,27.72,9.75,0.44
71,20,7,9,10,26,13,27.72,9.75,0.44
72,20,7,9,10,31,7,27.72,9.75,0.44
73,20,7,9,10,31,9,27.72,9.75,0.44
74,20,7,9,10,31,11,27.72,9.75,0.44
