,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,26.17,13.20,
1,20,7,7,7,21,9,26.17,13.20,
2,20,7,7,7,21,11,26.17,13.20,
3,20,7,7,7,21,13,26.17,13.20,
4,20,7,7,7,26,7,26.17,13.20,
5,20,7,7,7,26,9,26.17,13.20,
6,20,7,7,7,26,11,26.17,13.20,
7,20,7,7,7,26,13,26.17,13.20,
8,20,7,7,7,31,7,26.17,13.20,
9,20,7,7,7,31,9,26.17,13.20,
10,20,7,7,7,31,11,26.17,13.20,
11,20,7,7,7,31,13,26.17,13.20,
12,20,7,7,7,36,7,26.17,13.20,
13,20,7,7,7,36,9,26.17,13.20,
14,20,7,7,7,36,11,26.17,13.20,
15,20,7,7,7,36,13,26.17,13.20,
16,20,7,7,10,21,7,26.17,13.20,
17,20,7,7,10,21,9,26.17,13.20,
18,20,7,7,10,21,11,26.17,13.20,
19,20,7,7,10,21,13,26.17,13.20,
20,20,7,7,10,26,7,26.17,13.20,
21,20,7,7,10,26,9,26.17,13.20,
22,20,7,7,10,26,11,26.17,13.20,
23,20,7,7,10,26,13,26.17,13.20,
24,20,7,7,10,31,7,26.17,13.20,
25,20,7,7,10,31,9,26.17,13.20,
26,20,7,7,10,31,11,26.17,13.20,
27,20,7,7,10,31,13,26.17,13.20,
28,20,7,7,10,36,7,26.17,13.20,
29,20,7,7,10,36,9,26.17,13.20,
30,20,7,7,10,36,11,26.17,13.20,
31,20,7,7,10,36,13,26.17,13.20,
32,20,7,7,13,21,7,26.17,13.20,
33,20,7,7,13,21,9,26.17,13.20,
34,20,7,7,13,21,11,26.17,13.20,
35,20,7,7,13,21,13,26.17,13.20,
36,20,7,7,13,26,7,26.17,13.20,
37,20,7,7,13,26,9,26.17,13.20,
38,20,7,7,13,26,11,26.17,13.20,
39,20,7,7,13,26,13,26.17,13.20,
40,20,7,7,13,31,7,26.17,13.20,
41,20,7,7,13,31,9,26.17,13.20,
42,20,7,7,13,31,11,26.17,13.20,
43,20,7,7,13,31,13,26.17,13.20,
44,20,7,7,13,36,7,26.17,13.20,
45,20,7,7,13,36,9,26.17,13.20,
46,20,7,7,13,36,11,26.17,13.20,
47,20,7,7,13,36,13,26.17,13.20,
48,20,7,9,7,21,7,5.62,13.26,
49,20,7,9,7,21,9,5.62,13.26,
50,20,7,9,7,21,11,5.62,13.26,
51,20,7,9,7,21,13,5.62,13.26,
52,20,7,9,7,26,7,5.62,13.26,
53,20,7,9,7,26,9,5.62,13.26,
54,20,7,9,7,26,11,5.62,13.26,
55,20,7,9,7,26,13,5.62,13.26,
