,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-3.52,2.78,
1,20,7,7,7,21,9,-3.52,2.78,
2,20,7,7,7,21,11,-3.52,2.78,
3,20,7,7,7,21,13,-3.52,2.78,
4,20,7,7,7,26,7,-3.52,2.78,
5,20,7,7,7,26,9,-3.52,2.78,
6,20,7,7,7,26,11,-3.52,2.78,
7,20,7,7,7,26,13,0.00,0.00,
8,20,7,7,7,31,7,0.00,0.00,
9,20,7,7,7,31,9,0.00,0.00,
10,20,7,7,7,31,11,0.00,0.00,
11,20,7,7,7,31,13,0.00,0.00,
12,20,7,7,7,36,7,0.00,0.00,
13,20,7,7,7,36,9,0.00,0.00,
14,20,7,7,7,36,11,0.00,0.00,
15,20,7,7,7,36,13,0.00,0.00,
16,20,7,7,10,21,7,-3.52,2.78,
17,20,7,7,10,21,9,-3.52,2.78,
18,20,7,7,10,21,11,-3.52,2.78,
19,20,7,7,10,21,13,-3.52,2.78,
20,20,7,7,10,26,7,-3.52,2.78,
21,20,7,7,10,26,9,-3.52,2.78,
22,20,7,7,10,26,11,-3.52,2.78,
23,20,7,7,10,26,13,0.00,0.00,
24,20,7,7,10,31,7,0.00,0.00,
25,20,7,7,10,31,9,0.00,0.00,
26,20,7,7,10,31,11,0.00,0.00,
27,20,7,7,10,31,13,0.00,0.00,
28,20,7,7,10,36,7,0.00,0.00,
29,20,7,7,10,36,9,0.00,0.00,
30,20,7,7,10,36,11,0.00,0.00,
31,20,7,7,10,36,13,0.00,0.00,
32,20,7,7,13,21,7,-3.52,2.78,
33,20,7,7,13,21,9,-3.52,2.78,
34,20,7,7,13,21,11,-3.52,2.78,
35,20,7,7,13,21,13,-3.52,2.78,
36,20,7,7,13,26,7,-3.52,2.78,
37,20,7,7,13,26,9,-3.52,2.78,
38,20,7,7,13,26,11,-3.52,2.78,
39,20,7,7,13,26,13,0.00,0.00,
40,20,7,7,13,31,7,0.00,0.00,
41,20,7,7,13,31,9,0.00,0.00,
42,20,7,7,13,31,11,0.00,0.00,
43,20,7,7,13,31,13,0.00,0.00,
44,20,7,7,13,36,7,0.00,0.00,
45,20,7,7,13,36,9,0.00,0.00,
46,20,7,7,13,36,11,0.00,0.00,
47,20,7,7,13,36,13,0.00,0.00,
48,20,7,9,7,21,7,-4.09,2.90,
49,20,7,9,7,21,9,-4.09,2.90,
50,20,7,9,7,21,11,-4.09,2.90,
51,20,7,9,7,21,13,-4.09,2.90,
52,20,7,9,7,26,7,-4.09,2.90,
53,20,7,9,7,26,9,-4.09,2.90,
54,20,7,9,7,26,11,-4.09,2.90,
55,20,7,9,7,26,13,-4.09,2.90,
56,20,7,9,7,31,7,-4.09,2.90,
57,20,7,9,7,31,9,0.75,2.75,
58,20,7,9,7,31,11,0.75,2.75,
59,20,7,9,7,31,13,0.75,2.75,
60,20,7,9,7,36,7,0.75,2.75,
61,20,7,9,7,36,9,0.75,2.75,
62,20,7,9,7,36,11,0.75,2.75,
63,20,7,9,7,36,13,0.75,2.75,
64,20,7,9,10,21,7,-4.09,2.90,
65,20,7,9,10,21,9,-4.09,2.90,
66,20,7,9,10,21,11,-4.09,2.90,
67,20,7,9,10,21,13,-4.09,2.90,
68,20,7,9,10,26,7,-4.09,2.90,
69,20,7,9,10,26,9,-4.09,2.90,
70,20,7,9,10,26,11,-4.09,2.90,
71,20,7,9,10,26,13,-4.09,2.90,
72,20,7,9,10,31,7,-4.09,2.90,
73,20,7,9,10,31,9,0.75,2.75,
74,20,7,9,10,31,11,0.75,2.75,
75,20,7,9,10,31,13,0.75,2.75,
76,20,7,9,10,36,7,0.75,2.75,
77,20,7,9,10,36,9,0.75,2.75,
78,20,7,9,10,36,11,0.75,2.75,
79,20,7,9,10,36,13,0.75,2.75,
80,20,7,9,13,21,7,-4.09,2.90,
81,20,7,9,13,21,9,-4.09,2.90,
82,20,7,9,13,21,11,-4.09,2.90,
83,20,7,9,13,21,13,-4.09,2.90,
