,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,4.11,1.88,0.02
1,20,7,7,7,21,9,4.11,1.88,0.02
2,20,7,7,7,21,11,4.11,1.88,0.02
3,20,7,7,7,21,13,4.11,1.88,0.02
4,20,7,7,7,26,7,4.11,1.88,0.02
5,20,7,7,7,26,9,4.11,1.88,0.02
6,20,7,7,7,26,11,4.11,1.88,0.02
7,20,7,7,7,26,13,4.11,1.88,0.02
8,20,7,7,7,31,7,4.11,1.88,0.02
9,20,7,7,7,31,9,4.11,1.88,0.02
10,20,7,7,7,31,11,4.11,1.88,0.02
11,20,7,7,7,31,13,4.11,1.88,0.02
12,20,7,7,7,36,7,4.11,1.88,0.02
13,20,7,7,7,36,9,4.11,1.88,0.02
14,20,7,7,7,36,11,4.11,1.88,0.02
15,20,7,7,7,36,13,4.11,1.88,0.02
16,20,7,7,10,21,7,4.11,1.88,0.02
17,20,7,7,10,21,9,4.11,1.88,0.02
18,20,7,7,10,21,11,4.11,1.88,0.02
19,20,7,7,10,21,13,4.11,1.88,0.02
20,20,7,7,10,26,7,4.11,1.88,0.02
21,20,7,7,10,26,9,4.11,1.88,0.02
22,20,7,7,10,26,11,4.11,1.88,0.02
23,20,7,7,10,26,13,4.11,1.88,0.02
24,20,7,7,10,31,7,4.11,1.88,0.02
25,20,7,7,10,31,9,4.11,1.88,0.02
26,20,7,7,10,31,11,4.11,1.88,0.02
27,20,7,7,10,31,13,4.11,1.88,0.02
28,20,7,7,10,36,7,4.11,1.88,0.02
29,20,7,7,10,36,9,4.11,1.88,0.02
30,20,7,7,10,36,11,4.11,1.88,0.02
31,20,7,7,10,36,13,4.11,1.88,0.02
32,20,7,7,13,21,7,4.11,1.88,0.02
33,20,7,7,13,21,9,4.11,1.88,0.02
34,20,7,7,13,21,11,4.11,1.88,0.02
35,20,7,7,13,21,13,4.11,1.88,0.02
36,20,7,7,13,26,7,4.11,1.88,0.02
37,20,7,7,13,26,9,4.11,1.88,0.02
