,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-30.01,22.91,-3.27
1,20,7,7,7,21,9,-30.01,22.91,-3.27
2,20,7,7,7,21,11,-30.01,22.91,-3.27
3,20,7,7,7,21,13,-28.76,22.75,-3.65
4,20,7,7,7,26,7,-29.85,22.95,-3.33
5,20,7,7,7,26,9,-43.94,25.82,-1.87
6,20,7,7,7,26,11,-43.94,25.82,-1.87
7,20,7,7,7,26,13,-43.94,25.82,-1.87
8,20,7,7,7,31,7,-43.94,25.82,-1.87
9,20,7,7,7,31,9,-28.76,22.75,-3.65
10,20,7,7,7,31,11,-30.53,22.99,-3.15
11,20,7,7,7,31,13,-30.23,23.17,-3.23
12,20,7,7,7,36,7,-29.55,23.07,-3.40
13,20,7,7,7,36,9,-29.95,22.92,-3.31
14,20,7,7,7,36,11,-34.13,23.73,-2.57
15,20,7,7,7,36,13,-25.52,21.11,-0.64
16,20,7,7,10,21,7,-30.01,22.91,-3.27
17,20,7,7,10,21,9,-30.01,22.91,-3.27
18,20,7,7,10,21,11,-30.01,22.91,-3.27
19,20,7,7,10,21,13,-28.76,22.75,-3.65
20,20,7,7,10,26,7,-29.85,22.95,-3.33
21,20,7,7,10,26,9,-28.76,22.75,-3.65
22,20,7,7,10,26,11,-28.76,22.75,-3.65
23,20,7,7,10,26,13,-28.76,22.75,-3.65
24,20,7,7,10,31,7,-43.94,25.82,-1.87
25,20,7,7,10,31,9,-28.76,22.75,-3.65
26,20,7,7,10,31,11,-30.53,22.99,-3.15
27,20,7,7,10,31,13,-30.23,23.17,-3.23
28,20,7,7,10,36,7,-29.55,23.07,-3.40
29,20,7,7,10,36,9,-29.95,22.92,-3.31
30,20,7,7,10,36,11,-34.13,23.73,-2.57
31,20,7,7,10,36,13,-28.24,21.09,-0.66
32,20,7,7,13,21,7,-30.01,22.91,-3.27
33,20,7,7,13,21,9,-30.01,22.91,-3.27
34,20,7,7,13,21,11,-30.01,22.91,-3.27
35,20,7,7,13,21,13,-28.76,22.75,-3.65
36,20,7,7,13,26,7,-29.85,22.95,-3.33
37,20,7,7,13,26,9,-28.76,22.75,-3.65
38,20,7,7,13,26,11,-28.76,22.75,-3.65
39,20,7,7,13,26,13,-28.76,22.75,-3.65
40,20,7,7,13,31,7,-31.17,22.70,-0.68
41,20,7,7,13,31,9,-28.76,22.75,-3.65
42,20,7,7,13,31,11,-30.53,22.99,-3.15
43,20,7,7,13,31,13,-30.23,23.17,-3.23
44,20,7,7,13,36,7,-29.55,23.07,-3.40
