,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,9.55,3.88,
1,20,7,7,7,21,9,9.55,3.88,
2,20,7,7,7,21,11,9.55,3.88,
3,20,7,7,7,21,13,9.55,3.88,
4,20,7,7,7,26,7,9.55,3.88,
5,20,7,7,7,26,9,9.55,3.88,
6,20,7,7,7,26,11,9.55,3.88,
7,20,7,7,7,26,13,9.55,3.88,
8,20,7,7,7,31,7,9.55,3.88,
9,20,7,7,7,31,9,9.55,3.88,
10,20,7,7,7,31,11,9.55,3.88,
11,20,7,7,7,31,13,9.55,3.88,
12,20,7,7,7,36,7,9.55,3.88,
13,20,7,7,7,36,9,9.55,3.88,
14,20,7,7,7,36,11,9.55,3.88,
15,20,7,7,7,36,13,9.55,3.88,
16,20,7,7,10,21,7,9.55,3.88,
17,20,7,7,10,21,9,9.55,3.88,
18,20,7,7,10,21,11,9.55,3.88,
19,20,7,7,10,21,13,9.55,3.88,
20,20,7,7,10,26,7,9.55,3.88,
21,20,7,7,10,26,9,9.55,3.88,
22,20,7,7,10,26,11,9.55,3.88,
23,20,7,7,10,26,13,9.55,3.88,
24,20,7,7,10,31,7,9.55,3.88,
25,20,7,7,10,31,9,9.55,3.88,
26,20,7,7,10,31,11,9.55,3.88,
27,20,7,7,10,31,13,9.55,3.88,
28,20,7,7,10,36,7,9.55,3.88,
29,20,7,7,10,36,9,9.55,3.88,
30,20,7,7,10,36,11,9.55,3.88,
31,20,7,7,10,36,13,9.55,3.88,
32,20,7,7,13,21,7,9.55,3.88,
33,20,7,7,13,21,9,9.55,3.88,
34,20,7,7,13,21,11,9.55,3.88,
35,20,7,7,13,21,13,9.55,3.88,
36,20,7,7,13,26,7,9.55,3.88,
37,20,7,7,13,26,9,9.55,3.88,
38,20,7,7,13,26,11,9.55,3.88,
39,20,7,7,13,26,13,9.55,3.88,
40,20,7,7,13,31,7,9.55,3.88,
41,20,7,7,13,31,9,9.55,3.88,
42,20,7,7,13,31,11,9.55,3.88,
43,20,7,7,13,31,13,9.55,3.88,
44,20,7,7,13,36,7,9.55,3.88,
45,20,7,7,13,36,9,9.55,3.88,
46,20,7,7,13,36,11,9.55,3.88,
47,20,7,7,13,36,13,9.55,3.88,
48,20,7,9,7,21,7,17.93,9.73,
49,20,7,9,7,21,9,17.93,9.73,
50,20,7,9,7,21,11,17.93,9.73,
51,20,7,9,7,21,13,17.93,9.73,
52,20,7,9,7,26,7,17.93,9.73,
53,20,7,9,7,26,9,10.45,7.37,
54,20,7,9,7,26,11,10.45,7.37,
55,20,7,9,7,26,13,10.45,7.37,
56,20,7,9,7,31,7,10.45,7.37,
57,20,7,9,7,31,9,10.45,7.37,
58,20,7,9,7,31,11,10.45,7.37,
59,20,7,9,7,31,13,10.45,7.37,
60,20,7,9,7,36,7,10.45,7.37,
61,20,7,9,7,36,9,10.45,7.37,
62,20,7,9,7,36,11,10.45,7.37,
63,20,7,9,7,36,13,10.45,7.37,
64,20,7,9,10,21,7,17.93,9.73,
65,20,7,9,10,21,9,17.93,9.73,
66,20,7,9,10,21,11,17.93,9.73,
67,20,7,9,10,21,13,17.93,9.73,
68,20,7,9,10,26,7,17.93,9.73,
