,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-6.27,5.01,-1.63
1,20,7,7,7,21,9,-6.27,5.01,-1.63
2,20,7,7,7,21,11,-6.27,5.01,-1.63
3,20,7,7,7,21,13,-6.27,5.01,-1.63
4,20,7,7,7,26,7,-6.27,5.01,-1.63
5,20,7,7,7,26,9,-6.27,5.01,-1.63
6,20,7,7,7,26,11,-6.27,5.01,-1.63
7,20,7,7,7,26,13,-6.27,5.01,-1.63
8,20,7,7,7,31,7,-6.27,5.01,-1.63
9,20,7,7,7,31,9,-6.27,5.01,-1.63
10,20,7,7,7,31,11,0.00,0.00,
11,20,7,7,7,31,13,0.00,0.00,
12,20,7,7,7,36,7,0.00,0.00,
13,20,7,7,7,36,9,0.00,0.00,
14,20,7,7,7,36,11,0.00,0.00,
15,20,7,7,7,36,13,0.00,0.00,
16,20,7,7,10,21,7,-6.27,5.01,-1.63
17,20,7,7,10,21,9,-6.27,5.01,-1.63
18,20,7,7,10,21,11,-6.27,5.01,-1.63
19,20,7,7,10,21,13,-6.27,5.01,-1.63
20,20,7,7,10,26,7,-6.27,5.01,-1.63
21,20,7,7,10,26,9,-6.27,5.01,-1.63
22,20,7,7,10,26,11,-6.27,5.01,-1.63
23,20,7,7,10,26,13,-6.27,5.01,-1.63
24,20,7,7,10,31,7,-6.27,5.01,-1.63
25,20,7,7,10,31,9,-6.27,5.01,-1.63
26,20,7,7,10,31,11,0.00,0.00,
27,20,7,7,10,31,13,0.00,0.00,
28,20,7,7,10,36,7,0.00,0.00,
29,20,7,7,10,36,9,0.00,0.00,
30,20,7,7,10,36,11,0.00,0.00,
31,20,7,7,10,36,13,0.00,0.00,
32,20,7,7,13,21,7,-6.27,5.01,-1.63
33,20,7,7,13,21,9,-6.27,5.01,-1.63
34,20,7,7,13,21,11,-6.27,5.01,-1.63
35,20,7,7,13,21,13,-6.27,5.01,-1.63
36,20,7,7,13,26,7,-6.27,5.01,-1.63
37,20,7,7,13,26,9,-6.27,5.01,-1.63
38,20,7,7,13,26,11,-6.27,5.01,-1.63
39,20,7,7,13,26,13,-6.27,5.01,-1.63
40,20,7,7,13,31,7,-6.27,5.01,-1.63
41,20,7,7,13,31,9,-6.27,5.01,-1.63
42,20,7,7,13,31,11,0.00,0.00,
43,20,7,7,13,31,13,0.00,0.00,
44,20,7,7,13,36,7,0.00,0.00,
45,20,7,7,13,36,9,0.00,0.00,
46,20,7,7,13,36,11,0.00,0.00,
47,20,7,7,13,36,13,0.00,0.00,
48,20,7,9,7,21,7,-7.16,5.01,-1.55
49,20,7,9,7,21,9,-7.16,5.01,-1.55
50,20,7,9,7,21,11,-7.16,5.01,-1.55
51,20,7,9,7,21,13,-7.16,5.01,-1.55
52,20,7,9,7,26,7,-7.16,5.01,-1.55
53,20,7,9,7,26,9,-7.16,5.01,-1.55
54,20,7,9,7,26,11,-7.16,5.01,-1.55
55,20,7,9,7,26,13,-7.16,5.01,-1.55
56,20,7,9,7,31,7,-7.16,5.01,-1.55
57,20,7,9,7,31,9,-7.16,5.01,-1.55
58,20,7,9,7,31,11,-7.16,5.01,-1.55
59,20,7,9,7,31,13,0.00,0.00,
60,20,7,9,7,36,7,0.00,0.00,
61,20,7,9,7,36,9,0.00,0.00,
62,20,7,9,7,36,11,0.00,0.00,
63,20,7,9,7,36,13,0.00,0.00,
64,20,7,9,10,21,7,-7.16,5.01,-1.55
65,20,7,9,10,21,9,-7.16,5.01,-1.55
66,20,7,9,10,21,11,-7.16,5.01,-1.55
67,20,7,9,10,21,13,-7.16,5.01,-1.55
68,20,7,9,10,26,7,-7.16,5.01,-1.55
69,20,7,9,10,26,9,-7.16,5.01,-1.55
70,20,7,9,10,26,11,-7.16,5.01,-1.55
71,20,7,9,10,26,13,-7.16,5.01,-1.55
72,20,7,9,10,31,7,-7.16,5.01,-1.55
73,20,7,9,10,31,9,-7.16,5.01,-1.55
74,20,7,9,10,31,11,-7.16,5.01,-1.55
75,20,7,9,10,31,13,0.00,0.00,
76,20,7,9,10,36,7,0.00,0.00,
77,20,7,9,10,36,9,0.00,0.00,
78,20,7,9,10,36,11,0.00,0.00,
79,20,7,9,10,36,13,0.00,0.00,
80,20,7,9,13,21,7,-7.16,5.01,-1.55
81,20,7,9,13,21,9,-7.16,5.01,-1.55
82,20,7,9,13,21,11,-7.16,5.01,-1.55
83,20,7,9,13,21,13,-7.16,5.01,-1.55
84,20,7,9,13,26,7,-7.16,5.01,-1.55
85,20,7,9,13,26,9,-7.16,5.01,-1.55
86,20,7,9,13,26,11,-7.16,5.01,-1.55
87,20,7,9,13,26,13,-7.16,5.01,-1.55
88,20,7,9,13,31,7,-7.16,5.01,-1.55
89,20,7,9,13,31,9,-7.16,5.01,-1.55
90,20,7,9,13,31,11,-7.16,5.01,-1.55
91,20,7,9,13,31,13,0.00,0.00,
92,20,7,9,13,36,7,0.00,0.00,
93,20,7,9,13,36,9,0.00,0.00,
94,20,7,9,13,36,11,0.00,0.00,
95,20,7,9,13,36,13,0.00,0.00,
96,20,7,11,7,21,7,0.00,0.00,
97,20,7,11,7,21,9,32.08,1.80,1.22
98,20,7,11,7,21,11,32.08,1.80,1.22
99,20,7,11,7,21,13,32.08,1.80,1.22
100,20,7,11,7,26,7,0.00,0.00,
101,20,7,11,7,26,9,32.08,1.80,1.22
102,20,7,11,7,26,11,32.08,1.80,1.22
103,20,7,11,7,26,13,32.08,1.80,1.22
104,20,7,11,7,31,7,32.08,1.80,1.22
105,20,7,11,7,31,9,32.08,1.80,1.22
106,20,7,11,7,31,11,32.08,1.80,1.22
107,20,7,11,7,31,13,32.08,1.80,1.22
108,20,7,11,7,36,7,32.08,1.80,1.22
109,20,7,11,7,36,9,32.08,1.80,1.22
110,20,7,11,7,36,11,32.08,1.80,1.22
111,20,7,11,7,36,13,32.08,1.80,1.22
112,20,7,11,10,21,7,32.08,1.80,1.22
113,20,7,11,10,21,9,32.08,1.80,1.22
114,20,7,11,10,21,11,32.08,1.80,1.22
115,20,7,11,10,21,13,32.08,1.80,1.22
116,20,7,11,10,26,7,32.08,1.80,1.22
117,20,7,11,10,26,9,32.08,1.80,1.22
118,20,7,11,10,26,11,32.08,1.80,1.22
119,20,7,11,10,26,13,32.08,1.80,1.22
120,20,7,11,10,31,7,32.08,1.80,1.22
121,20,7,11,10,31,9,32.08,1.80,1.22
122,20,7,11,10,31,11,32.08,1.80,1.22
123,20,7,11,10,31,13,32.08,1.80,1.22
124,20,7,11,10,36,7,32.08,1.80,1.22
125,20,7,11,10,36,9,32.08,1.80,1.22
126,20,7,11,10,36,11,32.08,1.80,1.22
127,20,7,11,10,36,13,32.08,1.80,1.22
128,20,7,11,13,21,7,32.08,1.80,1.22
129,20,7,11,13,21,9,32.08,1.80,1.22
130,20,7,11,13,21,11,32.08,1.80,1.22
131,20,7,11,13,21,13,32.08,1.80,1.22
132,20,7,11,13,26,7,32.08,1.80,1.22
133,20,7,11,13,26,9,32.08,1.80,1.22
134,20,7,11,13,26,11,32.08,1.80,1.22
135,20,7,11,13,26,13,32.08,1.80,1.22
136,20,7,11,13,31,7,32.08,1.80,1.22
137,20,7,11,13,31,9,32.08,1.80,1.22
138,20,7,11,13,31,11,32.08,1.80,1.22
139,20,7,11,13,31,13,32.08,1.80,1.22
140,20,7,11,13,36,7,32.08,1.80,1.22
141,20,7,11,13,36,9,32.08,1.80,1.22
142,20,7,11,13,36,11,32.08,1.80,1.22
143,20,7,11,13,36,13,32.08,1.80,1.22
144,20,9,7,7,21,7,-6.27,5.01,-1.63
145,20,9,7,7,21,9,-6.27,5.01,-1.63
146,20,9,7,7,21,11,-6.27,5.01,-1.63
147,20,9,7,7,21,13,-6.27,5.01,-1.63
148,20,9,7,7,26,7,-6.27,5.01,-1.63
149,20,9,7,7,26,9,-6.27,5.01,-1.63
150,20,9,7,7,26,11,-6.27,5.01,-1.63
151,20,9,7,7,26,13,-6.27,5.01,-1.63
152,20,9,7,7,31,7,-6.27,5.01,-1.63
153,20,9,7,7,31,9,-6.27,5.01,-1.63
154,20,9,7,7,31,11,0.00,0.00,
155,20,9,7,7,31,13,0.00,0.00,
156,20,9,7,7,36,7,0.00,0.00,
157,20,9,7,7,36,9,0.00,0.00,
158,20,9,7,7,36,11,0.00,0.00,
159,20,9,7,7,36,13,0.00,0.00,
160,20,9,7,10,21,7,-6.27,5.01,-1.63
161,20,9,7,10,21,9,-6.27,5.01,-1.63
162,20,9,7,10,21,11,-6.27,5.01,-1.63
163,20,9,7,10,21,13,-6.27,5.01,-1.63
