,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,3.38,12.00,0.04
1,20,7,7,7,21,9,3.38,12.00,0.04
2,20,7,7,7,21,11,3.38,12.00,0.04
3,20,7,7,7,21,13,3.38,12.00,0.04
4,20,7,7,7,26,7,3.38,12.00,0.04
5,20,7,7,7,26,9,3.38,12.00,0.04
6,20,7,7,7,26,11,3.38,12.00,0.04
7,20,7,7,7,26,13,3.38,12.00,0.04
8,20,7,7,7,31,7,3.38,12.00,0.04
9,20,7,7,7,31,9,3.38,12.00,0.04
10,20,7,7,7,31,11,3.38,12.00,0.04
11,20,7,7,7,31,13,3.38,12.00,0.04
12,20,7,7,7,36,7,3.38,12.00,0.04
13,20,7,7,7,36,9,3.38,12.00,0.04
14,20,7,7,7,36,11,3.38,12.00,0.04
15,20,7,7,7,36,13,3.38,12.00,0.04
16,20,7,7,10,21,7,3.38,12.00,0.04
17,20,7,7,10,21,9,3.38,12.00,0.04
18,20,7,7,10,21,11,3.38,12.00,0.04
19,20,7,7,10,21,13,3.38,12.00,0.04
20,20,7,7,10,26,7,3.38,12.00,0.04
21,20,7,7,10,26,9,3.38,12.00,0.04
22,20,7,7,10,26,11,3.38,12.00,0.04
23,20,7,7,10,26,13,3.38,12.00,0.04
24,20,7,7,10,31,7,3.38,12.00,0.04
25,20,7,7,10,31,9,3.38,12.00,0.04
26,20,7,7,10,31,11,3.38,12.00,0.04
27,20,7,7,10,31,13,3.38,12.00,0.04
28,20,7,7,10,36,7,3.38,12.00,0.04
29,20,7,7,10,36,9,3.38,12.00,0.04
30,20,7,7,10,36,11,3.38,12.00,0.04
31,20,7,7,10,36,13,3.38,12.00,0.04
32,20,7,7,13,21,7,3.38,12.00,0.04
33,20,7,7,13,21,9,3.38,12.00,0.04
34,20,7,7,13,21,11,3.38,12.00,0.04
35,20,7,7,13,21,13,3.38,12.00,0.04
36,20,7,7,13,26,7,3.38,12.00,0.04
37,20,7,7,13,26,9,3.38,12.00,0.04
38,20,7,7,13,26,11,3.38,12.00,0.04
39,20,7,7,13,26,13,3.38,12.00,0.04
40,20,7,7,13,31,7,3.38,12.00,0.04
41,20,7,7,13,31,9,3.38,12.00,0.04
42,20,7,7,13,31,11,3.38,12.00,0.04
43,20,7,7,13,31,13,3.38,12.00,0.04
44,20,7,7,13,36,7,3.38,12.00,0.04
45,20,7,7,13,36,9,3.38,12.00,0.04
46,20,7,7,13,36,11,3.38,12.00,0.04
47,20,7,7,13,36,13,3.38,12.00,0.04
48,20,7,9,7,21,7,0.89,14.61,0.01
49,20,7,9,7,21,9,0.89,14.61,0.01
50,20,7,9,7,21,11,0.89,14.61,0.01
51,20,7,9,7,21,13,0.89,14.61,0.01
