,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-14.57,7.57,
1,20,7,7,7,21,9,-14.57,7.57,
2,20,7,7,7,21,11,-15.97,8.33,
3,20,7,7,7,21,13,-13.62,7.07,
4,20,7,7,7,26,7,-15.04,7.83,
5,20,7,7,7,26,9,-2.87,3.26,
6,20,7,7,7,26,11,-2.87,3.26,
7,20,7,7,7,26,13,-2.87,3.26,
8,20,7,7,7,31,7,-2.87,3.26,
9,20,7,7,7,31,9,-2.87,3.26,
10,20,7,7,7,31,11,-2.87,3.26,
11,20,7,7,7,31,13,-2.87,3.26,
12,20,7,7,7,36,7,-2.87,3.26,
13,20,7,7,7,36,9,-2.87,3.26,
14,20,7,7,7,36,11,-2.87,3.26,
15,20,7,7,7,36,13,-2.87,3.26,
16,20,7,7,10,21,7,-14.57,7.57,
17,20,7,7,10,21,9,-14.57,7.57,
18,20,7,7,10,21,11,-15.97,8.33,
19,20,7,7,10,21,13,-13.62,7.07,
20,20,7,7,10,26,7,-15.04,7.83,
21,20,7,7,10,26,9,-2.87,3.26,
22,20,7,7,10,26,11,-2.87,3.26,
23,20,7,7,10,26,13,-2.87,3.26,
24,20,7,7,10,31,7,-2.87,3.26,
25,20,7,7,10,31,9,-2.87,3.26,
26,20,7,7,10,31,11,-2.87,3.26,
27,20,7,7,10,31,13,-2.87,3.26,
28,20,7,7,10,36,7,-2.87,3.26,
29,20,7,7,10,36,9,-2.87,3.26,
30,20,7,7,10,36,11,-2.87,3.26,
31,20,7,7,10,36,13,-2.87,3.26,
32,20,7,7,13,21,7,-14.57,7.57,
33,20,7,7,13,21,9,-14.57,7.57,
34,20,7,7,13,21,11,-15.97,8.33,
35,20,7,7,13,21,13,-13.62,7.07,
36,20,7,7,13,26,7,-15.04,7.83,
37,20,7,7,13,26,9,-2.87,3.26,
38,20,7,7,13,26,11,-2.87,3.26,
39,20,7,7,13,26,13,-2.87,3.26,
40,20,7,7,13,31,7,-2.87,3.26,
41,20,7,7,13,31,9,-2.87,3.26,
42,20,7,7,13,31,11,-2.87,3.26,
43,20,7,7,13,31,13,-2.87,3.26,
44,20,7,7,13,36,7,-2.87,3.26,
45,20,7,7,13,36,9,-2.87,3.26,
46,20,7,7,13,36,11,-2.87,3.26,
47,20,7,7,13,36,13,-2.87,3.26,
48,20,7,9,7,21,7,-20.50,10.75,
49,20,7,9,7,21,9,-20.50,10.75,
50,20,7,9,7,21,11,-20.50,10.75,
51,20,7,9,7,21,13,-18.30,9.54,
52,20,7,9,7,26,7,-19.59,10.25,
53,20,7,9,7,26,9,-8.13,5.83,
54,20,7,9,7,26,11,-8.13,5.83,
55,20,7,9,7,26,13,-8.13,5.83,
56,20,7,9,7,31,7,-8.13,5.83,
57,20,7,9,7,31,9,-8.13,5.83,
58,20,7,9,7,31,11,-8.13,5.83,
59,20,7,9,7,31,13,-8.13,5.83,
60,20,7,9,7,36,7,-8.13,5.83,
61,20,7,9,7,36,9,-8.13,5.83,
62,20,7,9,7,36,11,-8.13,5.83,
63,20,7,9,7,36,13,-8.13,5.83,
64,20,7,9,10,21,7,-20.50,10.75,
65,20,7,9,10,21,9,-20.50,10.75,
66,20,7,9,10,21,11,-20.50,10.75,
67,20,7,9,10,21,13,-18.30,9.54,
68,20,7,9,10,26,7,-19.59,10.25,
69,20,7,9,10,26,9,-8.13,5.83,
70,20,7,9,10,26,11,-8.13,5.83,
71,20,7,9,10,26,13,-8.13,5.83,
72,20,7,9,10,31,7,-8.13,5.83,
73,20,7,9,10,31,9,-8.13,5.83,
74,20,7,9,10,31,11,-8.13,5.83,
75,20,7,9,10,31,13,-8.13,5.83,
76,20,7,9,10,36,7,-8.13,5.83,
77,20,7,9,10,36,9,-8.13,5.83,
78,20,7,9,10,36,11,-8.13,5.83,
79,20,7,9,10,36,13,-8.13,5.83,
80,20,7,9,13,21,7,-20.50,10.75,
81,20,7,9,13,21,9,-20.50,10.75,
82,20,7,9,13,21,11,-20.50,10.75,
83,20,7,9,13,21,13,-18.30,9.54,
84,20,7,9,13,26,7,-19.59,10.25,
85,20,7,9,13,26,9,-8.13,5.83,
86,20,7,9,13,26,11,-8.13,5.83,
87,20,7,9,13,26,13,-8.13,5.83,
