,vol_window,vol_roc_period,price_lookback,macd_fast,macd_slow,macd_sig,return,dd,sharpe
0,20,7,7,7,21,7,-2.96,2.15,
1,20,7,7,7,21,9,-2.96,2.15,
2,20,7,7,7,21,11,-2.96,2.15,
3,20,7,7,7,21,13,-2.96,2.15,
4,20,7,7,7,26,7,-2.96,2.15,
5,20,7,7,7,26,9,-2.96,2.15,
6,20,7,7,7,26,11,-2.96,2.15,
7,20,7,7,7,26,13,-2.96,2.15,
8,20,7,7,7,31,7,-2.96,2.15,
9,20,7,7,7,31,9,-2.96,2.15,
10,20,7,7,7,31,11,-2.96,2.15,
11,20,7,7,7,31,13,-2.96,2.15,
12,20,7,7,7,36,7,-2.96,2.15,
13,20,7,7,7,36,9,-2.96,2.15,
14,20,7,7,7,36,11,-2.96,2.15,
15,20,7,7,7,36,13,-2.96,2.15,
16,20,7,7,10,21,7,-2.96,2.15,
17,20,7,7,10,21,9,-2.96,2.15,
18,20,7,7,10,21,11,-2.96,2.15,
19,20,7,7,10,21,13,-2.96,2.15,
20,20,7,7,10,26,7,-2.96,2.15,
21,20,7,7,10,26,9,-2.96,2.15,
22,20,7,7,10,26,11,-2.96,2.15,
23,20,7,7,10,26,13,-2.96,2.15,
24,20,7,7,10,31,7,-2.96,2.15,
25,20,7,7,10,31,9,-2.96,2.15,
26,20,7,7,10,31,11,-2.96,2.15,
27,20,7,7,10,31,13,-2.96,2.15,
28,20,7,7,10,36,7,-2.96,2.15,
29,20,7,7,10,36,9,-2.96,2.15,
30,20,7,7,10,36,11,-2.96,2.15,
31,20,7,7,10,36,13,-2.96,2.15,
32,20,7,7,13,21,7,-2.96,2.15,
33,20,7,7,13,21,9,-2.96,2.15,
34,20,7,7,13,21,11,-2.96,2.15,
35,20,7,7,13,21,13,-2.96,2.15,
36,20,7,7,13,26,7,-2.96,2.15,
37,20,7,7,13,26,9,-2.96,2.15,
38,20,7,7,13,26,11,-2.96,2.15,
39,20,7,7,13,26,13,-2.96,2.15,
40,20,7,7,13,31,7,-2.96,2.15,
41,20,7,7,13,31,9,-2.96,2.15,
